tn_proba,fp_proba,fn_proba,tp_proba,accuracy_proba,balanced_accuracy_proba,f1_weighted_proba,f1_macro_proba,precision_1_proba,recall_1_proba,precision_0_proba,recall_0_proba,roc_auc_proba,tn_ratio,fp_ratio,fn_ratio,tp_ratio,accuracy_ratio,balanced_accuracy_ratio,f1_weighted_ratio,f1_macro_ratio,precision_1_ratio,recall_1_ratio,precision_0_ratio,recall_0_ratio,roc_auc_ratio,best_thresh_proba,tn_proba_best,fp_proba_best,fn_proba_best,tp_proba_best,balanced_accuracy_proba_best,accuracy_proba_best,f1_weighted_proba_best,f1_macro_proba_best,precision_1_proba_best,recall_1_proba_best,precision_0_proba_best,recall_0_proba_best,best_thresh_ratio,tn_ratio_best,fp_ratio_best,fn_ratio_best,tp_ratio_best,balanced_accuracy_ratio_best,accuracy_ratio_best,f1_weighted_ratio_best,f1_macro_ratio_best,precision_1_ratio_best,recall_1_ratio_best,precision_0_ratio_best,recall_0_ratio_best,perm_or_obs,perm_id
881,25,2809,243,0.28398180899444164,0.5260130511892466,0.2006336786978935,0.26488119580148267,0.9067164179104478,0.07961992136304064,0.23875338753387534,0.9724061810154525,0.677066245417907,906,0,2864,188,0.2764022233451238,0.5307994757536042,0.17818782309669154,0.2517800378079819,1.0,0.061598951507208385,0.2403183023872679,1.0,0.7782898124922246,0.45,350,556,458,2594,0.6181239674920944,0.743810005053057,0.7385100948188861,0.6224528768338742,0.8234920634920635,0.8499344692005243,0.43316831683168316,0.38631346578366443,0.43,607,299,797,2255,0.7044188445169671,0.7230924709449217,0.7406416272080488,0.6650181546364208,0.8829287392325763,0.7388597640891219,0.4323361823361823,0.6699779249448123,obs,0
469,437,1567,1485,0.49368367862556845,0.5021131151287904,0.5334070069104581,0.4579678365570306,0.7726326742976066,0.4865661861074705,0.23035363457760313,0.5176600441501104,0.505571564551454,467,439,1533,1519,0.5017685699848409,0.5065794803248476,0.5411535697051034,0.46389560864506363,0.7757916241062308,0.49770642201834864,0.2335,0.5154525386313465,0.5052558449711982,0.49,238,668,776,2276,0.504216827383484,0.6351692774128348,0.6421444745376823,0.5035447242606181,0.7730978260869565,0.745740498034076,0.23471400394477318,0.26269315673289184,0.5,467,439,1533,1519,0.5065794803248476,0.5017685699848409,0.5411535697051034,0.46389560864506363,0.7757916241062308,0.49770642201834864,0.2335,0.5154525386313465,perm,0
475,431,1494,1558,0.5136432541687721,0.5173837443112612,0.5522765819347631,0.4742830528794321,0.783308195072901,0.5104849279161205,0.24123920771965465,0.5242825607064018,0.5208910163494281,479,427,1476,1576,0.5192016169782718,0.5225401358064339,0.5574581928718524,0.4791945018636315,0.7868197703444832,0.5163826998689384,0.24501278772378515,0.5286975717439294,0.5235518488943667,0.5,475,431,1494,1558,0.5173837443112612,0.5136432541687721,0.5522765819347631,0.4742830528794321,0.783308195072901,0.5104849279161205,0.24123920771965465,0.5242825607064018,0.51,707,199,2202,850,0.5294295493274775,0.3933804951995958,0.4044862746703494,0.3925876212783188,0.8102955195424214,0.27850589777195284,0.24303884496390513,0.7803532008830022,perm,1
488,418,1522,1530,0.5098534613441131,0.5199709812839408,0.5485262249504572,0.4733525377229081,0.7854209445585215,0.5013106159895151,0.2427860696517413,0.5386313465783664,0.5214060045307387,482,424,1497,1555,0.5146538655886812,0.5207553979730297,0.5531529928082835,0.4761547383690788,0.7857503789792825,0.5095019659239842,0.24355735219807984,0.5320088300220751,0.5235813232881706,0.5,488,418,1522,1530,0.5199709812839408,0.5098534613441131,0.5485262249504572,0.4733525377229081,0.7854209445585215,0.5013106159895151,0.2427860696517413,0.5386313465783664,0.5,482,424,1497,1555,0.5207553979730297,0.5146538655886812,0.5531529928082835,0.4761547383690788,0.7857503789792825,0.5095019659239842,0.24355735219807984,0.5320088300220751,perm,2
461,445,1497,1555,0.5093481556341587,0.5091659939995197,0.548375602578294,0.46876257867894566,0.7775,0.5095019659239842,0.23544433094994893,0.5088300220750552,0.505340470838071,450,456,1487,1565,0.5090955027791814,0.5047336238098131,0.5482236083331098,0.46677946234016077,0.7743691241959426,0.512778505897772,0.2323180175529169,0.4966887417218543,0.5036150434412783,0.5,461,445,1497,1555,0.5091659939995197,0.5093481556341587,0.548375602578294,0.46876257867894566,0.7775,0.5095019659239842,0.23544433094994893,0.5088300220750552,0.49,234,672,757,2295,0.5051220348398184,0.6389590702374937,0.6444984569152671,0.5046452356152451,0.7735085945399394,0.7519659239842726,0.23612512613521694,0.2582781456953642,perm,3
445,461,1559,1493,0.4896412329459323,0.4901786980057228,0.5299551843612226,0.4511630716679504,0.7640736949846468,0.4891874180865007,0.2220558882235529,0.4911699779249448,0.490500203970038,448,458,1533,1519,0.49696816574027286,0.4960938291107196,0.5368582529455374,0.4572265067664697,0.7683358624178047,0.49770642201834864,0.22614840989399293,0.49448123620309054,0.49073455252445464,0.47000000000000003,27,879,64,2988,0.504415734335535,0.7617483577564427,0.678400694179386,0.458935557938449,0.7726920093095423,0.9790301441677588,0.2967032967032967,0.029801324503311258,0.47000000000000003,32,874,86,2966,0.5035709222628234,0.7574532592218292,0.6779954576741215,0.4616040336622171,0.7723958333333333,0.971821756225426,0.2711864406779661,0.03532008830022075,perm,4
452,454,1471,1581,0.5136432541687721,0.5084586085482252,0.5524471342458304,0.47056598710191,0.7769041769041769,0.5180209698558322,0.23504940197607904,0.4988962472406181,0.5064930462129563,437,469,1452,1600,0.5146538655886812,0.5032931758279593,0.5534196181615287,0.4687896028804191,0.7733204446592556,0.5242463958060288,0.23133933298041293,0.48233995584988965,0.5012608892515024,0.5,452,454,1471,1581,0.5084586085482252,0.5136432541687721,0.5524471342458304,0.47056598710191,0.7769041769041769,0.5180209698558322,0.23504940197607904,0.4988962472406181,0.47000000000000003,37,869,95,2957,0.5048558611730737,0.7564426478019202,0.6793406677717891,0.46556696086654215,0.7728698379508625,0.968872870249017,0.2803030303030303,0.04083885209713024,perm,5
458,448,1538,1514,0.4982314300151592,0.5007934579141822,0.5379242662828,0.4597767189154997,0.7716615698267074,0.49606815203145477,0.22945891783567135,0.5055187637969095,0.49181696799261654,428,478,1522,1530,0.4946942900454775,0.4868583985024838,0.5349222101605503,0.45223148547956726,0.7619521912350598,0.5013106159895151,0.2194871794871795,0.47240618101545256,0.4897022254433094,0.52,832,74,2766,286,0.5060156695280336,0.28246589186457804,0.2138376545943788,0.268546494557918,0.7944444444444444,0.09370904325032765,0.2312395775430795,0.9183222958057395,0.52,820,86,2717,335,0.5074206759075219,0.29181404749873674,0.2332503082865194,0.28101837531404444,0.7957244655581948,0.10976408912188729,0.23183488832343793,0.9050772626931567,perm,6
481,425,1486,1566,0.5171803941384537,0.5220056185789219,0.5555427637309794,0.47795026123752016,0.7865394274234053,0.5131061598951507,0.24453482460599898,0.5309050772626932,0.5287868990478505,481,425,1455,1597,0.5250126326427489,0.5270842555382929,0.5628751026419898,0.4839888301969695,0.7898120672601385,0.5232634338138925,0.2484504132231405,0.5309050772626932,0.526671071551532,0.5,481,425,1486,1566,0.5220056185789219,0.5171803941384537,0.5555427637309794,0.47795026123752016,0.7865394274234053,0.5131061598951507,0.24453482460599898,0.5309050772626932,0.5,481,425,1455,1597,0.5270842555382929,0.5250126326427489,0.5628751026419898,0.4839888301969695,0.7898120672601385,0.5232634338138925,0.2484504132231405,0.5309050772626932,perm,7
469,437,1513,1539,0.5073269327943406,0.5109597730580171,0.5463896466752239,0.46848204073807176,0.7788461538461539,0.504259501965924,0.23662966700302723,0.5176600441501104,0.504442496361811,448,458,1518,1534,0.5007579585649318,0.4985512340910604,0.5404302538164671,0.46011256927892485,0.7700803212851406,0.5026212319790302,0.2278738555442523,0.49448123620309054,0.49794492953630815,0.5,469,437,1513,1539,0.5109597730580171,0.5073269327943406,0.5463896466752239,0.46848204073807176,0.7788461538461539,0.504259501965924,0.23662966700302723,0.5176600441501104,0.49,244,662,792,2260,0.5049068536825995,0.6326427488630622,0.6409414104144716,0.5039496589581285,0.7734428473648186,0.7404980340760158,0.23552123552123552,0.2693156732891832,perm,8
471,435,1498,1554,0.511622031328954,0.5145209307977399,0.5504159131843622,0.4720982551771129,0.7812971342383107,0.5091743119266054,0.23920771965464702,0.5198675496688742,0.5141032261984324,456,450,1503,1549,0.5065689742294088,0.5054236501089286,0.5458129493522049,0.46583424981419885,0.7748874437218609,0.5075360419397117,0.2327718223583461,0.5033112582781457,0.5171918895147828,0.5,471,435,1498,1554,0.5145209307977399,0.511622031328954,0.5504159131843622,0.4720982551771129,0.7812971342383107,0.5091743119266054,0.23920771965464702,0.5198675496688742,0.52,823,83,2713,339,0.5097316130413524,0.29358261748357756,0.23531139638497822,0.2828589402928087,0.8033175355450237,0.11107470511140236,0.23274886877828055,0.9083885209713024,perm,9
448,458,1565,1487,0.4888832743810005,0.49085136515265926,0.5291865010347304,0.4510557653536966,0.7645244215938304,0.48722149410222804,0.22255340288127173,0.49448123620309054,0.5037550016057215,463,443,1507,1545,0.5073269327943406,0.5086314767720077,0.5464567926135878,0.4675351016623618,0.7771629778672032,0.5062254259501966,0.2350253807106599,0.5110375275938189,0.5076465257103511,0.48,92,814,275,2777,0.5057202022919868,0.7248610409297626,0.6777749660413438,0.49030424858207355,0.773322194374826,0.9098951507208388,0.2506811989100817,0.10154525386313466,0.51,683,223,2245,807,0.5091399552712512,0.37645275391611926,0.38644233078259177,0.3758401389154058,0.7834951456310679,0.2644167758846658,0.23326502732240437,0.7538631346578366,perm,10
448,458,1563,1489,0.48938858009095504,0.49117901915003803,0.529668070296742,0.4514420196346434,0.7647663071391885,0.4878768020969856,0.2227747389358528,0.49448123620309054,0.48928108517846647,445,461,1521,1531,0.49924204143506823,0.4964041239559194,0.5390347991215778,0.4584732349751159,0.768574297188755,0.5016382699868939,0.22634791454730416,0.4911699779249448,0.492830489325568,0.0,0,906,0,3052,0.5,0.7710965133906014,0.6714369640137277,0.43537803138373754,0.7710965133906014,1.0,0.0,0.0,0.48,101,805,321,2731,0.5031510477694936,0.7155128852956039,0.6741213014225982,0.49059580763856886,0.772341628959276,0.8948230668414154,0.23933649289099526,0.11147902869757174,perm,11
463,443,1527,1525,0.5022738756947953,0.5053549367982201,0.5416870996022832,0.46366055116550375,0.7748983739837398,0.4996723460026212,0.2326633165829146,0.5110375275938189,0.505450050486201,445,461,1489,1563,0.5073269327943406,0.5016465879139796,0.5466053325845528,0.4646097625944794,0.7722332015810277,0.5121231979030144,0.23009307135470528,0.4911699779249448,0.5078700247946557,0.48,90,816,267,2785,0.5059270655221199,0.7263769580596261,0.6781973894906048,0.4898670540641569,0.7733962788114412,0.9125163826998689,0.25210084033613445,0.09933774834437085,0.52,821,85,2733,319,0.5053513203081827,0.28802425467407783,0.2266228503211641,0.27638395822953,0.7896039603960396,0.104521625163827,0.23100731570061903,0.9061810154525386,perm,12
473,433,1538,1514,0.5020212228398181,0.5090716036095464,0.5413041892898955,0.46501346892621587,0.7776065742167437,0.49606815203145477,0.23520636499254102,0.522075055187638,0.5140938233243355,471,435,1518,1534,0.5065689742294088,0.5112443908239521,0.5456485090169351,0.46821112983500385,0.7790756729304216,0.5026212319790302,0.2368024132730015,0.5198675496688742,0.5115404005335046,0.49,255,651,743,2309,0.5190050167949798,0.6478019201616978,0.6536161116972965,0.5179937743560498,0.7800675675675676,0.7565530799475754,0.25551102204408815,0.2814569536423841,0.5,471,435,1518,1534,0.5112443908239521,0.5065689742294088,0.5456485090169351,0.46821112983500385,0.7790756729304216,0.5026212319790302,0.2368024132730015,0.5198675496688742,perm,13
