subject,task,ch_name_bci2000_format,overall_significance,overall_auc,overall_p,cluster_separativity,cluster1_corr,cluster2_corr,cluster_separativity_bl_control,cluster1_corr_bl_control,cluster2_corr_bl_control,n_weak_corr_trials,n_weak_corr_trials_bl_control,all_var_azimuth_elevation_angle,all_cluster_4_12_hz_plv_pre_pre_pre_pre,all_cluster_4_12_hz_plv_pre_pre_pre,all_cluster_4_12_hz_plv_pre_pre,all_cluster_4_12_hz_plv_pre,all_cluster_4_12_hz_plv_during,all_cluster_4_12_hz_plv_post,cluster1_peak_freq,cluster1_oscillation_amp,cluster1_4_12_hz_pow_pre_pre_pre_pre,cluster1_4_12_hz_pow_pre_pre_pre,cluster1_4_12_hz_pow_pre_pre,cluster1_4_12_hz_pow_pre,cluster1_4_12_hz_pow_during,cluster1_4_12_hz_pow_post,cluster1_no_erp_phase_pre_pre_pre_pre_pre,cluster1_no_erp_phase_pre_pre_pre_pre,cluster1_no_erp_phase_pre_pre_pre,cluster1_no_erp_phase_pre_pre,cluster1_no_erp_phase_pre,cluster1_4_12_hz_phase_pre_pre_pre_pre,cluster1_4_12_hz_phase_pre_pre_pre,cluster1_4_12_hz_phase_pre_pre,cluster1_4_12_hz_phase_pre,cluster1_4_12_hz_phase_during,cluster1_4_12_hz_phase_post,cluster1_4_12_hz_plv_all,cluster1_4_12_hz_plv_pre_pre_pre_pre,cluster1_4_12_hz_plv_pre_pre_pre,cluster1_4_12_hz_plv_pre_pre,cluster1_4_12_hz_plv_pre,cluster1_4_12_hz_plv_during,cluster1_4_12_hz_plv_post,cluster2_peak_freq,cluster2_oscillation_amp,cluster2_4_12_hz_pow_pre_pre_pre_pre,cluster2_4_12_hz_pow_pre_pre_pre,cluster2_4_12_hz_pow_pre_pre,cluster2_4_12_hz_pow_pre,cluster2_4_12_hz_pow_during,cluster2_4_12_hz_pow_post,cluster2_no_erp_phase_pre_pre_pre_pre_pre,cluster2_no_erp_phase_pre_pre_pre_pre,cluster2_no_erp_phase_pre_pre_pre,cluster2_no_erp_phase_pre_pre,cluster2_no_erp_phase_pre,cluster2_4_12_hz_phase_pre_pre_pre_pre,cluster2_4_12_hz_phase_pre_pre_pre,cluster2_4_12_hz_phase_pre_pre,cluster2_4_12_hz_phase_pre,cluster2_4_12_hz_phase_during,cluster2_4_12_hz_phase_post,cluster2_4_12_hz_plv_all,cluster2_4_12_hz_plv_pre_pre_pre_pre,cluster2_4_12_hz_plv_pre_pre_pre,cluster2_4_12_hz_plv_pre_pre,cluster2_4_12_hz_plv_pre,cluster2_4_12_hz_plv_during,cluster2_4_12_hz_plv_post,cluster1_significance,cluster1_auc,cluster1_p,cluster1_auc_bl_control,cluster1_p_bl_control,cluster1_latency,cluster1_amp,cluster1_amp_time,cluster1_polarity,cluster1_peak_to_trough,cluster1_trough_time,cluster2_significance,cluster2_auc,cluster2_p,cluster2_auc_bl_control,cluster2_p_bl_control,cluster2_latency,cluster2_amp,cluster2_amp_time,cluster2_polarity,cluster2_peak_to_trough,cluster2_trough_time,cluster1_mean_dir_azimuth,cluster1_mean_dir_elevation,cluster1_mean_azimuth_elevation_angle,cluster1_var_azimuth_elevation_angle,cluster1_mean_dir_x_screen_coord,cluster1_mean_dir_y_screen_coord,cluster2_mean_dir_azimuth,cluster2_mean_dir_elevation,cluster2_mean_azimuth_elevation_angle,cluster2_var_azimuth_elevation_angle,cluster2_mean_dir_x_screen_coord,cluster2_mean_dir_y_screen_coord,re_ref_vector_x_norm,re_ref_vector_y_norm,re_ref_vector_z_norm,contact_x_norm,contact_y_norm,contact_z_norm,left_eye_x_norm,left_eye_y_norm,left_eye_z_norm,right_eye_x_norm,right_eye_y_norm,right_eye_z_norm,valid_side,contact_side,contact_dist_to_left_eye,contact_dist_to_right_eye,shank_ref,weak_mean_dir_azimuth,weak_mean_dir_elevation
BJH021,BLAES_study,A1,1,0.507633917792216,1.58116554590423e-05,1.1206759650683,0.665381868294236,0.473795024373441,0.886059757531942,0.530049538137137,0.371071531685794,0,0,0.953481383669957,0.0369659103813844,0.056662283298714,0.0856578039988516,0.107009210337628,0.0791024675871208,0.084093952023654,5.859375,3.15378912091653,-1.84094245578908,-0.00538268080494291,-0.0618610682144819,-0.290072395884444,-0.0892563089945786,1.20027612876112,2.29066200473878,2.37338213691047,-0.973188837757124,0.991884868344261,-2.47461931106997,-3.12455355547768,1.35597921268419,-2.25184890006078,0.544585647239628,2.3880554086992,-1.32977757443658,0.269257644916376,0.0342430699641766,0.168079669250675,0.306972808403722,0.446799844795686,0.401834543570931,0.298958551976151,5.859375,3.02436837975129,-2.99337996351051,-0.359184285872348,0.117012376851562,0.074444857536669,0.374952642454292,0.89460261759912,-1.10415678969417,-2.04343651004506,0.362821229686161,-1.95514265231645,1.23522007475545,-3.10166984307101,-1.50808334316066,0.899220455557586,-2.7693871722089,0.252113538671532,2.99419977325022,0.217341733161431,0.0401059650208058,0.131759881264405,0.257870900312075,0.326957195354196,0.365152570233635,0.21462093470352,1,0.8088061798798,0,0.680444200211201,0,-0.00550000000000006,-1.26375027866885,0.0489999999999999,Negative,-1.38669814703791,-0.00999999999999979,1,0.732628392276618,0,0.654855842611696,0,-0.0234999999999999,1.9328142523789,0.069,Positive,2.08434272804778,-0.0259999999999998,-0.323556338494758,-0.0296083265170658,83.5231079026348,0.993260975506945,3.37762368542117,0.327986343838483,0.21342559347343,0.417301720550799,48.3185904418366,0.906363440239149,-2.18223655728931,-4.30227032428098,0.825471610233736,0.476886219223188,-0.301953894846773,-17.6520599644797,-5.92405693609824,-9.9707219350531,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,57.2273640942606,71.773357877958,1,NaN,NaN
BJH021,BLAES_study,A2,1,0.507633917792216,1.58116554590423e-05,1.1206759650683,0.665381868294236,0.473795024373441,0.886059757531942,0.530049538137137,0.371071531685794,0,0,0.953481383669957,0.0369659103813844,0.0566622832987141,0.0856578039988515,0.107009210337628,0.0791024675871208,0.084093952023654,5.859375,3.15378912091653,-1.84094245578908,-0.00538268080494291,-0.0618610682144819,-0.290072395884444,-0.0892563089945786,1.20027612876112,-0.85093064885101,-0.768210516679323,2.16840381583267,-2.14970778524553,0.666973342519827,0.0170390981121174,-1.7856134409056,0.889743753529017,-2.59700700635017,-0.75353724489059,1.81181507915321,0.269257644916376,0.0342430699641766,0.168079669250675,0.306972808403722,0.446799844795686,0.401834543570931,0.298958551976151,5.859375,3.02436837975129,-2.99337996351051,-0.359184285872348,0.117012376851562,0.074444857536669,0.374952642454292,0.89460261759912,2.03743586389562,1.09815614354473,-2.77877142390363,1.18645000127335,-1.90637257883434,0.0399228105187789,1.63350931042914,-2.24237219803221,0.372205481380892,-2.88947911491826,-0.147392880339573,0.217341733161431,0.0401059650208058,0.131759881264405,0.257870900312075,0.326957195354196,0.365152570233635,0.21462093470352,1,0.8088061798798,0,0.680444200211201,0,-0.00550000000000006,1.26375027866885,0.0489999999999999,Positive,1.38669814703791,-0.00999999999999979,1,0.732628392276618,0,0.654855842611696,0,-0.0234999999999999,-1.9328142523789,0.069,Negative,-2.08434272804778,-0.0259999999999998,-0.323556338494758,-0.0296083265170658,83.5231079026348,0.993260975506945,3.37762368542117,0.327986343838483,0.21342559347343,0.417301720550799,48.3185904418366,0.906363440239149,-2.18223655728931,-4.30227032428098,0.825471610233736,0.476886219223188,-0.301953894846773,-20.3598345928277,-7.48837530757526,-8.98022985118187,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,57.970920448917,74.7134038156883,1,NaN,NaN
BJH021,BLAES_study,A3,1,0.480905283561091,3.50721963053792e-27,0.770180233326745,0.450630785289121,0.335788363482431,0.523579368522125,0.39200644356687,0.24334601698352,0,0,0.953481383669957,0.0396169051055145,0.0420472910357392,0.0435262112752421,0.0452170538136643,0.0517371297348588,0.0469519688260413,57.12890625,9.17983968347831,-1.40871562665606,-1.3579274033368,-1.33559189977901,-1.31985003643995,-1.38024913387407,-1.31495082495507,NaN,NaN,NaN,NaN,NaN,-2.74184241639979,-2.43399830839969,0.762915355360297,-2.13705796985231,0.334420899371332,1.2447509679183,0.817617524368278,0.752308380307753,0.758502822322121,0.760378200367124,0.761443042248312,0.752724137322893,0.761149182395329,57.12890625,9.21531751680787,-1.11158325426134,-1.04106115166865,-1.01568806343057,-1.00418988702571,-1.158765560791,-1.31162894470178,NaN,NaN,NaN,NaN,NaN,0.328066288859516,0.634187767142874,-2.45386596963672,0.926946525815999,-2.89849074407203,-2.59056215835045,0.684461087340742,0.639771770238943,0.648849774881232,0.652625208718703,0.655974959653362,0.657447472361817,0.65144387102879,1,0.572343693057338,2.63713779529688e-71,0.39557037969683,1.80394165185416e-140,NaN,NaN,NaN,,NaN,NaN,1,0.561471190410349,5.31087234214779e-85,0.464971278708607,1.10557477021725e-29,NaN,NaN,NaN,,NaN,NaN,0.198609408852472,0.447054922418934,39.9696719500005,0.882770245441866,-2.07733423436364,-4.65625705708468,-0.285776165731113,-0.0308720082753944,162.370203008901,0.981466983383196,3.02414665084093,0.376615652413777,0.851173715419708,0.458736988765031,-0.255075834444194,-23.4155299513985,-9.13523124541734,-8.06451308352961,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,58.9027085067284,77.983756466011,1,NaN,NaN
BJH021,BLAES_study,A4,1,0.460358660950049,2.64955909881804e-111,0.624497962247193,0.355426378023421,0.35787285250636,0.512148866083661,0.434326460175896,0.288649772049513,0,0,0.953481383669957,0.0884932367751081,0.0280802591176418,0.00742112878154264,0.0227236620033474,0.0404755412635261,0.0412662464811522,11.23046875,9.55069188185235,-0.0593682410925761,0.150825178388894,0.223628494833883,-0.31017983563526,-1.04784951406559,-1.09778504605188,NaN,NaN,NaN,NaN,NaN,-1.12081480510365,-0.140676437823979,-3.11850727272959,-0.00735959683126843,2.11123066246484,2.30455252850635,0.136567117995743,0.154132972724488,0.100174781545915,0.0753936134518265,0.0780190294878017,0.0394164841165448,0.041667162469043,13.18359375,9.98763877839719,0.11655668603008,-0.15934879515965,-0.108076224244682,0.272208145508818,0.960420005067132,2.22951910798016,NaN,NaN,NaN,NaN,NaN,0.357820859139753,-2.17080462836719,0.538084418528609,-2.69225358891818,0.422677737863817,-0.476918728097562,0.0547986314922427,0.043249335829593,0.0470298588778608,0.0868260125483435,0.0881288514671666,0.0703109066247689,0.0645220426473427,1,0.546916551388224,4.21867084822989e-33,0.415117694074023,7.24780936572993e-38,NaN,NaN,NaN,,NaN,NaN,1,0.554034777457227,1.19198511361254e-62,0.59105897427417,1.19897699331237e-309,NaN,NaN,NaN,,NaN,NaN,-0.0180837183639153,0.174813694109591,8.71470926868977,0.92773103518828,0.204129172607469,-1.77855037351141,-0.120141221847832,0.180871383547573,95.4685391589694,0.942862727684215,1.28029648432863,-1.86213421139266,0.892012165799018,0.399897166848253,-0.21070489318781,-26.3167211927851,-10.5957183495636,-7.29491341725223,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,59.8718545210112,81.0444583953111,1,NaN,NaN
BJH021,BLAES_study,A5,1,0.514448055476572,3.07016845909274e-16,0.59322354073638,0.446124570062413,0.213266729571025,0.592239414736318,0.377739863049757,0.224654139513332,0,0,0.953481383669957,0.121157860257213,0.0938320960485398,0.221644502801797,0.144191467750017,0.220826186986787,0.134780157665421,49.8046875,0.970911510506971,-0.330724110272066,-0.434047458594882,-0.471805559348687,-0.486000809070216,-0.301838351090221,-0.238528434595873,-1.99382610454049,-2.12516013654418,0.930255887732157,-2.32528737644866,0.575111900484928,-3.0083893267458,3.11054035484639,-0.13079324557885,2.91929885962867,-2.73839361287603,0.35490754096915,0.162657693346282,0.171266003692803,0.179623313617864,0.185643953950576,0.192358686557827,0.19277480761784,0.187231713183743,6.34765625,1.02905174309874,-2.09887209297425,0.0794911418926029,-0.320658400569573,-0.158329451337875,0.0293526862940642,1.11391236939297,1.54087299160376,1.55181072813038,-2.78724488791647,0.584419819418803,-2.58951453234455,0.063220358453314,1.04023125161137,-1.96567815432573,1.30548060255086,2.01399798513352,-1.24851631675826,0.15564403498133,0.138794129568866,0.112171231807731,0.182982533177321,0.273816622748292,0.282137946864026,0.213172553563038,1,0.764763996252177,0,0.726115790232984,0,-0.00199999999999978,0.946911484725312,0.0405000000000002,Positive,1.41859964205879,-0.00499999999999989,1,0.635708375216269,0,0.598718799804885,5.20833688590086e-189,0.0110000000000001,-0.721831757319662,0.0285000000000002,Negative,-0.745964026961035,0.00749999999999984,0.202552850033101,0.248335340318551,50.2255129480807,0.830855335239537,-2.07977351685206,-2.52340606845054,-0.221937530199037,0.140554814962066,-132.218956098557,0.98086569873268,2.33088436226228,-1.45013702965076,0.899486195476786,0.36918811082866,-0.233719325194692,-29.5359760172341,-12.038939566739,-6.53448349270936,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,60.968614047562,84.3479577258967,1,NaN,NaN
BJH021,BLAES_study,A6,0,0.500794069763831,0.653391762356261,0.46500662357372,0.205191458229332,0.259583696727625,0.39010233278068,0.295292630708562,0.114882506066868,0,0,0.953481383669957,0.043249411674638,0.0468983569431803,0.0253156074399031,0.036064549713472,0.0611656191293961,0.0931751222722079,6.8359375,4.12176367787071,-2.99818892132386,0.126472114441731,-0.249129952306264,-0.0935300937878534,0.688943580535458,1.5593561405245,0.947062390770807,-1.05921591240959,1.40691831886734,-1.92302491325901,1.28582781360043,-2.8042430405879,-2.02273886905025,0.788324504513621,-2.6097239028132,-0.592397944182898,2.30746060934516,0.216602417159789,0.0385569530294632,0.201449163937097,0.246844299903614,0.303292153721876,0.295862629834195,0.248459785621734,6.8359375,4.13539044690052,-2.47439405867449,0.109077218141072,-0.0907213085303707,-0.0516981971617023,0.692932804651699,1.87970660808474,0.995571948025144,0.283030012575694,-2.74133677095938,0.540182159843175,-2.57771618860524,2.95919673827206,1.02565323708384,-2.21148160906326,0.954527670664231,2.6717080230345,-0.36676968793232,0.235436656977049,0.0629578503267235,0.197335419946451,0.281712657752548,0.422664583246233,0.439810807955434,0.314537293104497,1,0.649700510550149,0,0.709660185433652,0,-0.00749999999999984,0.819546887169615,0.044,Positive,1.11855481887513,-0.00999999999999979,1,0.685260343773139,0,0.583344272339729,1.41648329307998e-180,-0.00249999999999995,-0.94273269464279,0.0390000000000001,Negative,-1.228101219431,-0.00700000000000012,-0.340643450819604,0.113783934984986,169.065237397119,0.958813593467793,3.56995463472853,-1.13441719463081,0.282276116247461,0.26407720386459,31.0736665475802,0.856896185983153,-2.91569520323932,-2.7457961694501,0.89571615302602,0.394288523399486,-0.205497283494747,-32.9971880141169,-13.4595709502249,-5.63513435724161,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,62.2366964208691,87.844723565285,2,NaN,NaN
BJH021,BLAES_study,A7,0,0.500198036315778,0.91083001176749,0.787281841084841,0.452382145111709,0.341401322033061,0.602375635863352,0.366852824344984,0.24288118931449,0,0,0.953481383669957,0.0567483780651874,0.0711135240292272,0.074714127801277,0.0771737049672551,0.0690557416127388,0.0552206186918632,18.06640625,3.63489229369782,0.0838759402880192,0.0508867054721449,-0.0840841937640671,-0.20701150108282,-0.145741271737434,0.191549191552033,-1.63506193960516,-1.51621388714325,1.60639319614292,-1.66198726855183,1.46479708143399,-1.2679390270912,-1.34986307348911,1.64241782690335,-1.62557103922582,-2.17666202545614,0.618170385890043,0.0850839822865699,0.124891470202984,0.141692687385877,0.137150839901329,0.121777370105168,0.122215149837662,0.0953802685986418,18.06640625,4.56836960842397,-0.0335571839146474,-0.30358257277698,-0.276323931990773,-0.0264600351516124,0.184197291498662,0.22034159997805,0.321426447604495,0.230596451718481,-2.87446779426525,0.117975518866776,3.12436008669086,-2.9584224554722,-2.99637943661097,-0.186504206003607,2.87946601660103,1.31151973490511,-1.89775214632762,0.0678967116191017,0.0328661120690738,0.0966642157838266,0.148496194259516,0.153903215039542,0.119681287770707,0.0819399838157657,1,0.769441792483763,0,0.683592349263434,0,-0.00550000000000006,-1.14427205238462,0.0465,Negative,-1.43677240056995,-0.0089999999999999,1,0.694416474469929,0,0.621290635014336,1.47470740344094e-297,-0.00349999999999984,1.24511474822355,0.0385,Positive,1.19082244273057,-0.00649999999999995,-0.359184626382765,-0.312853269268403,-106.94208582528,0.908880354151977,3.76880744108717,3.29813023130745,0.189472454785134,0.631566868578672,61.6244987731008,0.829606985225137,-1.95481517652914,-6.55502309078968,NaN,NaN,NaN,-35.9296567179673,-14.8588388428693,-5.0731937418211,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,63.6581010062851,90.9510182571408,3,NaN,NaN
BJH021,BLAES_study,A8,0,0.500011430671895,0.994842450842425,0.751137883180393,0.440768634871667,0.316882145314118,0.516700624056651,0.266008801122398,0.250181879000497,0,0,0.953481383669957,0.0247348987185205,0.0624668849942154,0.113604633990648,0.0879240556301478,0.0642369133388702,0.0377324158128865,6.8359375,2.36060497291927,-1.6497119067272,0.095996025052807,-0.312795847115671,-0.500622495875048,-0.197612455568796,0.578926378821298,-2.19200426362684,-0.901743695008535,2.45963570047896,-0.629703693931771,2.95888065460964,0.64151115199491,0.701515907830648,-2.67394493973475,0.539975768028003,2.08202528006318,-1.07827671245769,0.208930082265037,0.050345618305249,0.100979123891248,0.232769772896709,0.339378810563073,0.35361671496412,0.316850813646688,6.8359375,2.64424641248737,-1.38509851413255,0.00511376742344635,0.225620169904902,0.597075254001621,0.61542725226908,-0.168846513819707,-0.575610369454709,-1.92976180812803,1.08328304429335,-2.33387373949157,1.33106765239661,0.549553739424443,-1.74192919262659,1.1888644561349,-2.2078243188845,-0.410956073027009,2.59862834400994,0.181232969609836,0.00748952136129292,0.150835570133358,0.274599683048954,0.326919275582425,0.314041252817131,0.213660619936131,1,0.77929410279352,0,0.641197767868314,1.19449862214981e-292,-0.00150000000000006,-0.820219328824047,0.0325000000000002,Negative,-1.1774457919692,-0.00450000000000017,1,0.683939911974441,0,0.63295712818161,0,-0.004,0.970251169226769,0.0394999999999999,Positive,1.1697251875636,-0.00550000000000006,-0.378315563341488,-0.345997353061415,-136.704447181031,0.960354893597281,3.96523024079524,3.67737003508917,0.165550667172421,0.590557503956715,48.8125097197617,0.885879054086583,-1.70278123734308,-6.15349051460008,NaN,NaN,NaN,-38.9600565229394,-16.2388112009166,-4.57427831173192,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,65.2030592525492,94.1317302781812,3,NaN,NaN
BJH021,BLAES_study,A9,0,0.504622818800761,0.00894219946224923,0.987707517493565,0.475229650810942,0.516509557601383,0.615962341997356,0.350137824984373,0.26764260196006,0,0,0.953481383669957,0.0423520120740872,0.0216050548466572,0.0571002166599657,0.100937602851456,0.0889132508527101,0.0370281132550926,7.32421875,3.13815117025418,-2.12526870130983,0.0835698041611231,0.0685259919954482,-0.18826887874401,-0.578659619095469,-0.936784340058674,-2.31356107901716,3.07894879233457,-0.528519199043234,2.38576710391883,0.102422173172477,-2.91542248609679,-2.16153515728739,1.12893751237979,-2.25277124399428,-0.530357910615041,2.41815188576019,0.167478221252853,0.0197990415491181,0.10428878293094,0.226011858956367,0.298259887472934,0.311201570088066,0.244443459830503,7.32421875,3.16176758276208,-2.42139213003981,0.0989432359428816,-0.139656394859369,-0.356829990133059,-0.0633428715610111,0.831156482440221,-0.64434373133078,-0.803076200673069,1.77740779703872,0.314196141309794,-2.93131118798189,-2.80000331015787,1.32968492134934,-2.34280476345982,0.552580814557988,2.68298142179694,-0.548167244989268,0.183251146991382,0.060946223030289,0.102546418866023,0.265352606773308,0.405465504005238,0.375654229864647,0.242261207031252,1,0.760760048069952,0,0.626809869856123,3.11109636716685e-230,-0.00150000000000006,0.670536053454497,0.0365000000000002,Positive,1.05950248830566,-0.00649999999999995,1,0.785472380398109,0,0.612269803553561,5.58709139171155e-264,-0.00249999999999995,-0.900353173122472,0.0449999999999999,Negative,-1.34436372111876,-0.00499999999999989,-0.0961619253554454,0.181376554976242,43.5333154949425,0.947485867808425,1.02447895889874,-1.82562584878308,-0.055584938972153,0.175445107523749,58.4256476554322,0.957715964843243,0.602018448735854,-1.82321147206188,NaN,NaN,NaN,-42.2124930032799,-17.6468703223615,-3.83892286827056,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,66.9527566054524,97.5220122645572,3,NaN,NaN
BJH021,BLAES_study,A10,0,0.504579416425708,0.00960563923734454,1.01734812137158,0.528351895819339,0.499030054458971,0.388631065653224,0.202059077836506,0.184086102122112,0,0,0.953481383669957,0.0141945511626597,0.0172659808045156,0.0170795960043088,0.031085491009752,0.0356369129451377,0.00184879648608524,6.8359375,11.020068413164,-3.18434915121906,0.0676657333893218,0.226586560426025,1.19902938787788,3.84982448459754,8.44076910183658,-2.46833273629921,-2.6785147140946,0.556803804883005,-2.64067281615094,0.38453383930644,-2.66355794681704,-2.36270779980468,0.688761603063761,-2.49871140277842,-0.105172789310934,3.09506105636392,0.296090435121521,0.141379537364301,0.301747602791791,0.391406884332869,0.466052035865814,0.429677525674298,0.299779369559491,6.8359375,10.6773564010993,-3.98236133781297,0.0343849884292975,0.336304457879472,0.862356346053672,1.35508924148629,2.20693000175505,0.502167731368254,0.576125176095356,-2.61921531089755,0.28107023729883,-2.91214407592272,0.0337189463753393,0.487157079506288,-2.65439747612563,0.467573800334732,2.6388761574199,-0.579027903315039,0.324146982329737,0.187734576111861,0.296671744139279,0.418679088698576,0.498161946891505,0.452487444583233,0.357704728853363,1,0.795301312944356,0,0.555349927423711,2.01392930925937e-53,-0.00099999999999989,0.972887531529753,0.0535000000000001,Positive,1.46123216133456,-0.00599999999999978,1,0.768756118612902,0,0.507238638246437,0.0379921464386876,-0.00749999999999984,-0.780400193047685,0.0415000000000001,Negative,-1.39761560609551,-0.00999999999999979,-0.0246974152363185,-0.107957118620538,-47.7684941031963,0.958795485516876,0.307383503541924,1.1810360147356,-0.12996286782681,0.503483287733389,74.3953052537305,0.883888787712484,1.34574809558455,-5.24214212864685,NaN,NaN,NaN,-45.0930288005746,-19.0440190289862,-3.01391509516094,-29.84,49.21,-9.67,35.51,45.8,-9.67,left,left,68.7810966981252,100.638185250145,3,NaN,NaN
