saccade_id,subj,task,ch_name_bci2000_format,session,trial,eccentricity,azimuth_before,elevation_before,azimuth_after,elevation_after,gaze_x_before,gaze_y_before,gaze_x_after,gaze_y_after,duration,time_to_image_onset,behavior_condition,remember_condition,typical_erp_score,peak_to_trough,trough_time,latency,amp,peak_time,polarity,4_12_hz_pow_pre_pre_pre,4_12_hz_pow_pre_pre,4_12_hz_pow_pre,4_12_hz_pow_during,4_12_hz_pow_post,4_12_hz_phase_pre_pre_pre,4_12_hz_phase_pre_pre,4_12_hz_phase_pre,4_12_hz_phase_during,4_12_hz_phase_post,4_12_hz_norm_pow_pre_pre_pre,4_12_hz_norm_pow_pre_pre,4_12_hz_norm_pow_pre,4_12_hz_norm_pow_during,4_12_hz_norm_pow_post,no_erp_phase_pre_pre_pre,no_erp_phase_pre_pre,no_erp_phase_pre
1,BJH025,BLAES_study_twosource,A1,1,1,2.32830044954255,93.5299018805543,-1.53075042137337,91.2500965908968,-1.05802341284752,292.393006485084,158.786543068589,317.029398031586,317.029398031586,0.032,-2.956,unknown,unknown,0.305624714819567,2.53359522428951,0.00199999999999978,-0.00349999999999984,0.35153042689801,0.0385,Positive,10.2751853202911,12.1091142330485,12.2816085410271,10.9650192181303,9.10339345106047,1.99865695947315,-0.718129968841627,2.73460341598894,-0.0237284307869642,2.99043476754999,7.08923051324085,8.73164662913246,8.88612777033314,7.70702671200194,6.03980605785049,-2.13285092364226,0.470830832474568,3.06512742968907
2,BJH025,BLAES_study_twosource,A1,1,1,1.96804065139089,89.0448147045808,-1.57357581910873,87.0769487857171,-1.54735119515011,340.818960250248,159.219770809491,362.071054434744,362.071054434744,0.03,-2.621,unknown,unknown,0.473581670812933,-1.79228813265101,-0.00199999999999978,0.000500000000000167,-0.502501034132098,0.0369999999999999,Negative,4.2647349053823,4.73748539501572,5.41734468053389,6.43624831827793,7.3534264720894,1.00240934385506,-2.76853182097752,-0.316732010963703,1.95650774966028,-1.50177327025969,-1.54225624210515,-1.28591684069769,-0.917276879211528,-0.364796967887239,0.132524355067574,2.51960200438786,-0.477669207682834,3.100784550156
3,BJH025,BLAES_study_twosource,A1,1,1,6.43991468735836,88.1810257433329,-1.72094933228624,94.5698004964612,-2.53092361227549,350.141543907835,160.817678492409,281.119979654638,281.119979654638,0.042,-2.223,unknown,unknown,0.427128067987537,0.336592976379957,-0.00599999999999978,-0.00349999999999984,-0.663031358062536,0.0329999999999999,Positive,8.503904905335,13.0145831324985,17.3231390303513,18.2469903903863,14.9538275551751,-1.9803850815982,0.978141348172485,-2.23444213706579,1.20056525389117,-1.96440908311084,-0.678883170454593,0.0721617898647787,0.789552618997717,0.943377359556689,0.395053310192665,-0.36258195637449,2.76089798991285,-0.0352269326932724
4,BJH025,BLAES_study_twosource,A1,1,1,2.69932602552529,95.0989576233319,-2.37724692404328,97.7982555862602,-2.36493841442044,275.371550469215,167.998303807126,245.878947127489,245.878947127489,0.036,-2.029,unknown,unknown,-0.578613765171164,1.62715422280232,0.0234999999999999,-0.00749999999999984,-0.478665562762264,0.0350000000000001,Positive,10.9589650795139,4.97763655708811,1.34879972053222,5.12333159854371,8.00775419450558,0.0154822618122296,-3.06630672035055,1.58480927559563,-0.259665080780048,3.09887187771994,-1.91822774711414,-3.04871901570066,-3.73458141959146,-3.02118216136732,-2.47601656020985,1.36328403298687,-0.750344589340489,-2.94626416491883
5,BJH025,BLAES_study_twosource,A1,1,1,1.6989607470777,98.7161911491205,-2.30012531984972,97.1318954237912,-2.91370064107287,235.769222552834,167.353165178912,253.189889226767,253.189889226767,0.022,-1.695,unknown,unknown,0.567018762072864,0.769595490507189,-0.0089999999999999,-0.0105,2.27975511688646,0.0425,Positive,3.45392008366854,2.47028852481191,0.385034805141641,3.20368003028971,4.10896960875852,-0.684572333926226,2.79501505710979,-2.27737558035184,0.29777661399711,3.00803741545142,-2.46141985369669,-3.24738910987404,-4.91360782788203,-2.66137377633064,-1.93800355685403,0.0885854441652161,3.13304840357098,-0.0529428900031294
6,BJH025,BLAES_study_twosource,A1,1,1,1.61528187629195,97.3531371502596,-2.59213027391837,95.7875233713614,-2.19465192834299,250.7650031281,170.4504945449,267.877057624606,267.877057624606,0.027,-1.58,unknown,unknown,0.927341651809681,-3.34888264972293,-0.00249999999999995,-0.00099999999999989,-0.544005569010141,0.0419999999999998,Negative,3.23689862508137,4.18147686496842,6.0472090040526,7.77230839923319,7.19469036221083,0.0656273875724685,2.80251134063444,-1.08165292400275,1.41549301851979,-1.98755627848272,-3.03345787630327,-2.51029879646879,-1.47695431754283,-0.521499942144986,-0.841416395842402,1.00812338621745,-2.83788143847239,-0.0102603644364298
7,BJH025,BLAES_study_twosource,A1,1,1,2.61241909768483,95.7506454037371,-2.69340598561342,96.5637785359056,-0.210756584002681,268.278888532845,171.460252689403,259.40609968501,259.40609968501,0.044,-1.395,unknown,unknown,0.867016732802578,-2.48875743211677,0.00099999999999989,0.00349999999999984,-2.40126217077152,0.0394999999999999,Negative,6.12762280812752,4.89179955543727,3.26095590570274,4.23609398734195,8.08928717177287,-0.189387230298275,2.75066111911787,-0.00370178387876335,-2.50933655039086,1.11070105527202,-9.76711967091376,-11.0277646343512,-12.6913640436651,-11.6966401552785,-7.76605495991976,0.257393032657558,-3.09164704649156,-0.116175755539032
8,BJH025,BLAES_study_twosource,A1,1,1,2.66944380971501,96.3478103442104,-0.824476772951284,93.6976925053818,-1.14511004251033,261.765390707256,151.188735484855,290.575974016066,290.575974016066,0.034,-1.148,unknown,unknown,0.791531842806702,1.7944599536749,-0.00599999999999978,-0.00349999999999984,2.28278204948784,0.0425,Positive,7.90997056467541,5.79505049937737,6.08344004475096,7.88461398193843,8.73244777995808,0.985620441321943,-2.42107526081448,0.451599519410316,-2.26653602012373,1.10281194693416,-5.20289888640827,-6.82284904490371,-6.60195337257931,-5.22232108628128,-4.57291191095807,-2.44501230477691,0.38890250839757,3.08075994270224
9,BJH025,BLAES_study_twosource,A1,1,1,6.05009490223048,93.7049007603958,-1.21515659403163,95.1655875562483,-7.08627594304996,290.497899443046,155.376603646906,274.647073501255,274.647073501255,0.049,-0.925,unknown,unknown,0.808715882784988,-1.50416170134604,-0.00249999999999995,0,-0.0920798097472282,0.0419999999999998,Negative,9.28668019276676,9.29374544982895,8.6642978958524,7.23324825070992,5.43091206527156,-0.0931057355506833,3.01519033000818,-0.146849695029867,2.64029140880485,-0.187791684140667,0.660324846753709,0.662455785701044,0.472609288076371,0.0409930853586264,-0.502606155254889,-2.17960530839048,0.49242200448219,-3.12803591002524
10,BJH025,BLAES_study_twosource,A1,1,1,1.98424583707388,95.3877416310764,-7.39662017448914,95.3078841332903,-5.41398195181907,272.230447852293,222.823468070497,273.099349457033,273.099349457033,0.032,-0.721,unknown,unknown,0.821940877625414,1.10300427766679,-0.0105,-0.0089999999999999,0.521228091975593,0.0385,Positive,4.37033822724564,3.81202834827871,3.05984342153826,2.39089419095706,4.06386011980297,2.97711657637259,0.405227497659515,-2.78480250816644,-0.196686406008886,2.26959652458306,0.853676546970442,0.0668097106110807,-0.993299372102324,-1.93609831688624,0.421734595194406,1.36139374985102,-1.67763926060554,0.638980395752656
11,BJH025,BLAES_study_twosource,A1,1,1,4.02554227064233,95.5729753623388,-5.27223624238397,93.08881415504,-2.10459774203706,270.214098725872,199.53927519646,297.166569372237,297.166569372237,0.047,-0.445,unknown,unknown,0.812007909258239,3.17153373351338,-0.0114999999999998,-0.00950000000000006,4.63521317014484,0.0394999999999999,Positive,1.16789718986587,0.444588566703252,0.621035569967432,2.17500857205471,3.6286647354026,-2.50771291020569,0.558968317612919,-2.79257113160967,-0.254404157284484,2.74375018143935,-0.847203174866161,-1.46876169672479,-1.31713604894012,0.0182346783744835,1.26740045249532,2.54477329648267,-0.447368983278022,3.04393913694516
12,BJH025,BLAES_study_twosource,A1,1,1,3.22742479917435,96.6157670717866,-2.99139653191567,93.5084653319844,-2.11907392407611,258.83786068513,174.751787594415,292.625098475188,292.625098475188,0.031,3.228,unknown,unknown,0.517168522988025,1.36852329726226,0.00349999999999984,-0.0110000000000001,3.53987075284546,0.036,Positive,4.45272073933447,6.21229673200604,9.06568028136807,13.9809958111892,17.0786493866607,1.85845724516181,-2.06463479304823,0.493099700908349,-2.90291430405055,-0.0762562289247018,-0.748780410317255,0.0546109044777528,1.35741542720591,3.60166166754002,5.01599556908354,1.48243481695173,-2.96878408138477,-0.0648145989866729
13,BJH025,BLAES_study_twosource,A1,1,3,1.17340935952753,93.15229720811,-3.44931856696616,92.0244324428073,-3.12557392034554,296.479797360189,179.546617227436,308.670355862189,308.670355862189,0.026,5.788,dislike,unknown,0.389711509177694,1.51458253034184,0.0105,-0.00649999999999995,1.29814023485289,0.0375000000000001,Positive,2.51153985129273,2.14850153789653,3.37782561016871,2.57963314887284,1.6100665035461,-2.66081458446329,-0.863530817139614,1.96296955725576,-0.51744262171322,-2.35194471807843,-6.77367228645754,-7.14729829330048,-5.88212206453782,-6.7035931076799,-7.7014363123617,1.67251430632719,-1.95603089384388,-0.160120331428523
14,BJH025,BLAES_study_twosource,A1,1,4,2.91717973385849,89.6497315407735,-2.60018534348185,92.5462216027949,-2.25336706217921,334.29333821622,170.306085297932,303.033265103707,303.033265103707,0.036,3.124,like,unknown,0.731895298944345,1.84946418442851,-0.00150000000000006,-0.00649999999999995,1.11190081193051,0.0425,Positive,4.36755920945752,7.52724970571475,9.20671406027362,8.82838501955731,7.85675289167853,0.963585507477467,-2.08619172177949,0.938626001794737,-2.14023579354393,0.633370855414388,-4.47715896463805,6.31987645295844,12.0588044081624,10.7660094154383,7.44582773624901,-1.27781038308833,2.52414745057794,0.0681817147727957
15,BJH025,BLAES_study_twosource,A1,1,8,2.30255972834409,93.1129865675499,0.437008369492342,93.3716028994251,-1.85098177372931,296.905077286946,137.519653315023,294.106650099729,294.106650099729,0.04,3.15,like,unknown,0.542473725308788,-2.95534128882709,0.0135000000000001,0.00599999999999978,0.00191070309959294,0.0379999999999998,Negative,5.7226147195205,4.4463780120676,2.94373827608971,2.52742794027829,3.07276915242142,1.6912677321934,-1.60150214681584,1.49173794065665,-1.9321239409421,1.33496329837063,-1.92369727586894,-2.47510452808726,-3.12433083779219,-3.30420071381073,-3.06858211927164,0.924780025119236,-2.72648471801816,-0.139786804902924
16,BJH025,BLAES_study_twosource,A1,1,11,7.83497712966398,85.6413871932493,3.80035853437696,92.2332261651009,-0.434558890028726,377.618730754558,101.069874113069,306.415164270637,306.415164270637,0.063,3.136,like,unknown,0.111310794746382,2.44116873305811,0.0190000000000001,-0.00649999999999995,1.00624442482059,0.0425,Positive,12.4469560718052,11.5892260349413,10.9287207490465,9.80203394296535,9.29785891675518,2.44558070574296,-0.801422880963251,2.36806636238096,-0.797441130620528,1.59915673565319,5.39524610631061,4.85458920262146,4.43824987976432,3.72806022355214,3.41026126948401,3.06781369270643,-0.00407975800628621,3.11149673028611
17,BJH025,BLAES_study_twosource,A1,1,11,1.5025936731819,92.5501788381663,-0.481109945071578,93.5009996361077,-1.64460792826205,302.990497291524,147.434925001907,292.705926531443,292.705926531443,0.035,3.366,like,unknown,-0.109329448504976,0.782297602425455,0.0154999999999998,-0.00850000000000017,0.019297594289429,0.0345,Positive,11.916178169234,14.352629982535,14.4348161774967,14.4717432329961,15.1364110175502,-1.06592983557982,1.48358004818665,-2.16178429048008,0.73961064102606,-2.72848861780587,4.22406052542721,6.80087097865017,6.88779173987021,6.92684608196645,7.62980391836176,-0.704944415760041,2.93509994691894,-0.0480249875575379
18,BJH025,BLAES_study_twosource,A1,1,13,1.42642197939273,92.9214783420375,0.238089773355205,93.3030340248262,-1.13635372283746,298.976451667048,139.668916609445,294.848758242597,294.848758242597,0.033,3.211,like,unknown,0.734948890505717,2.40880205063181,0.0110000000000001,-0.00599999999999978,2.22830540271277,0.0425,Positive,7.39282635496765,5.51180297040074,2.84458047604628,0.943837145089933,0.734282754002306,-0.841639594238754,2.23816963136697,-1.15813901302529,1.59761885826964,0.234776189683993,-1.70021184294288,-2.64605123764536,-3.98721697237008,-4.94297219390894,-5.04834291925438,0.849640020237854,-2.73671488275057,-0.0143758623448973
19,BJH025,BLAES_study_twosource,A1,1,14,1.88452490767296,92.8573975311673,-1.32413290685817,92.6155004952115,-3.19306841982687,299.669396810864,156.542943465324,302.284495307851,302.284495307851,0.03,-2.428,like,unknown,0.675810507669281,4.38011272520853,-0.012,-0.00950000000000006,4.94784639550063,0.0339999999999998,Positive,9.08455977694848,10.8135096897729,9.50911326272872,5.66349410772962,2.40106206682796,2.34462899060582,-0.768286145121288,2.53564081891515,-0.119736755784466,3.05609754361661,-2.67257205654733,-0.283437202466084,-2.08590640314951,-7.39994279632742,-11.9081069948244,-1.99980318157106,0.641094695844651,3.09799624162464
20,BJH025,BLAES_study_twosource,A1,1,14,1.52244751046279,93.31709326906,-2.28258253118441,91.8350405419832,-1.93420610219037,294.69660608835,166.914957808805,310.715483329519,310.715483329519,0.02,-1.351,like,unknown,0.679810200512241,5.15892447277812,-0.00950000000000006,-0.00700000000000012,4.68526997122046,0.0339999999999998,Positive,9.99120344552191,10.0784326839422,11.4252486639779,12.2466532603434,11.5960271452832,2.95159582461466,-0.326423858048709,2.76473069490483,0.172270851080962,-2.60026004325207,1.75009726777194,1.78833192465383,2.37867350979512,2.73871474679317,2.45352979369451,2.01695213723582,-0.700026650824266,3.11406786519052
21,BJH025,BLAES_study_twosource,A1,1,14,2.10113306920101,91.8269210573688,-4.56049742607699,92.8763149150253,-2.74018626970761,310.803150682841,191.559696040284,299.464839653112,299.464839653112,0.03,3.154,like,unknown,0.87630548758829,1.5240608191639,-0.00800000000000001,-0.00749999999999984,0.456681029390173,0.0329999999999999,Positive,19.0480157272477,20.2196286050787,16.4042107294162,7.78909972523897,1.8890324137965,-2.45425263958032,0.704412596271352,-2.35973872516415,1.0774667260257,2.7257156176875,-0.336148688538517,-0.181931047430276,-0.684148764357544,-1.81814286948332,-2.59475985651657,0.122105279589594,2.87501184990452,-0.174359850203758
22,BJH025,BLAES_study_twosource,A1,1,15,1.24985780280784,91.3200986259597,-3.71842888158925,92.5681648435992,-3.7853261433174,316.273966582742,182.414883649958,302.796110257333,302.796110257333,0.027,4.853,like,unknown,-0.0490171513474204,-1.19195588417483,0.00199999999999978,0.00249999999999995,-0.159436004792037,0.032,Negative,5.97301008160573,8.13015406068293,7.83841477562363,5.88049426490864,3.09915981169235,2.30423076998982,-0.940287401995532,2.32106259203761,-0.977128682305062,2.6457742325432,-0.335214694418487,0.0901587166255758,0.0326298098743833,-0.353458153782199,-0.901917475503092,0.358791479309936,-3.00258435624802,0.0264719880085904
23,BJH025,BLAES_study_twosource,A1,1,19,1.68914033938906,94.4387248604734,-2.71089379136046,92.9837861492019,-3.56900126283183,282.542553444724,171.590276340887,298.302603261798,298.302603261798,0.039,3.263,like,unknown,0.3839517070916,-2.15043089389231,-0.00249999999999995,0,-0.137276239624513,0.0339999999999998,Negative,1.90151552497243,3.27811844734477,6.11465675847852,7.12383278099713,5.58138218487581,0.445738036838169,1.86269923452683,-1.79279079671623,0.68662248205196,-2.73580497714832,-1.03232788950524,-0.707499965551054,-0.0381807044570519,0.199947914167514,-0.164013992928069,0.214368985526293,-3.01990685011649,-0.0197524220034368
24,BJH025,BLAES_study_twosource,A1,1,20,2.61228950076627,90.2386873694932,-2.66862381373823,92.8156916620315,-2.24071574878373,327.940719310292,171.045560234989,300.120346307135,300.120346307135,0.036,3.175,like,unknown,0.629298029454708,1.05764012883284,0,-0.0105,-0.695850589919786,0.0425,Positive,9.06833713534171,9.00009670555164,12.5693758153113,15.9787316451363,14.6993337113418,-1.1629044592105,1.54222637875148,-1.97549562026454,1.29200531371909,-2.04260575792172,1.6336579002227,1.53109585396059,6.89554872015255,12.0196446764378,10.0967718211945,-2.81863519245513,0.275546091796827,2.93635775569818
25,BJH025,BLAES_study_twosource,A1,1,25,2.59038103103984,96.8650243774358,-2.7705318493528,94.2809649335636,-2.58967091795512,256.111779049363,172.362948805982,284.254065330412,284.254065330412,0.037,3.041,like,unknown,0.11882003547166,3.07464565540479,0.0169999999999999,-0.00649999999999995,2.08016603537697,0.0354999999999999,Positive,2.17268552905534,6.79347677185299,9.30596850150449,8.17939229941328,5.73354084114663,-0.59387572424075,2.75623045264936,-0.295605630225582,-3.08291191609468,0.0278796040198011,-6.24284484287732,-1.1782421806598,1.57556590851246,0.340785860572538,-2.33998138383256,-0.775358450210572,1.75006431847585,-2.95969905437077
26,BJH025,BLAES_study_twosource,A1,1,25,1.39963980594084,94.2620602797337,-2.80525691049041,93.3598676742396,-1.73519145035917,284.459111009384,172.60639734493,294.233665616701,294.233665616701,0.034,3.278,like,unknown,-0.406527617556432,0.295984522532014,-0.0105,-0.00800000000000001,0.304003326737438,0.0335000000000001,Positive,7.80853725391604,11.3756186880792,14.9937535478066,18.276116140555,17.1178325352624,-1.05016942162686,1.74742250577415,-1.91429574343514,1.05740318396638,-2.45699623516768,-5.91379676072348,-1.95754233043663,2.05533551728477,5.69580792842694,4.41115414926748,2.14616013652391,-0.577437423746617,-3.13992885501105
27,BJH025,BLAES_study_twosource,A1,1,27,1.83816604649491,93.0355636488918,0.653905261574972,93.7903083489331,-1.02216599354702,297.742580300603,135.177014419776,289.572729076066,289.572729076066,0.044,3.181,like,unknown,-0.478145287574696,1.01259766525325,-0.00649999999999995,-0.00649999999999995,-0.0179230677337044,0.0329999999999999,Positive,28.2032546019908,24.4221272079748,14.1357426029277,2.46201135382901,5.69534649302714,-2.77538967044532,0.0836121466466679,2.91118110376723,-0.718639362982597,-0.345193428151368,18.881998211392,15.4839601067628,6.23975243945765,-4.25124124417635,-1.34549518933049,-2.87290041940394,0.0324008434263178,3.10926605634307
28,BJH025,BLAES_study_twosource,A1,1,27,0.820677993488513,93.1954837620677,-1.72292751670255,93.4554235031625,-2.5013513729633,296.012549019608,160.858622110323,293.199332962757,293.199332962757,0.027,4.887,like,unknown,0.739827007038899,1.25219696369445,0.012,-0.00749999999999984,2.59496279198943,0.0425,Positive,4.21191526695894,3.0824247964617,0.751426847292891,6.10385200194619,9.44776407645984,-0.63742200245714,2.77020461514294,-2.43351589683051,0.625070818317641,-2.37170997189221,-3.14353156263791,-5.04415341244371,-8.96658193199766,0.040077676122665,5.66696211530897,-0.0136093204302909,3.07338330532735,-0.0258439084503795
29,BJH025,BLAES_study_twosource,A1,1,30,1.91015119700391,92.3806744321851,-2.27768322422204,92.3226384982437,-4.18695256765869,304.822185397116,166.84192324712,305.449224587371,305.449224587371,0.05,-0.546,dislike,unknown,-0.195795393694832,-1.17034268735343,0.00649999999999995,0.00450000000000017,-1.91810099958879,0.0354999999999999,Negative,3.81343899092068,7.1749189373137,8.83845541508695,8.89517687737451,7.22992788615941,2.95832818924428,0.21494012068301,-2.81808461323797,0.0504794709427253,-3.00125449154339,6.09509166201595,16.4260258408966,21.5386209270233,21.7129446483507,16.5950864448084,-0.518472426696368,-1.63869836621881,-3.03330399927973
30,BJH025,BLAES_study_twosource,A1,1,32,2.97326137493847,91.6741923304501,-5.64622530530925,92.942434551277,-2.95701633741309,312.452043030442,203.365290302892,298.749822232395,298.749822232395,0.059,3.158,like,unknown,0.52272708342637,-0.73331151465987,-0.00249999999999995,-0.000500000000000167,0.321344062216571,0.0329999999999999,Negative,18.4089493896913,14.4062768403983,9.56178211009023,7.17479497822066,9.98820423502147,2.46566812285483,-0.972477751549894,1.76289829560983,-2.53606415983831,-0.0867098436437554,7.30739209832231,4.90760154315291,2.0030989751337,0.571987860290351,2.25875910603949,-2.46762083294983,0.30322387206788,3.11472787298725
