fold,chan_train_acc,chan_train_bal_acc,chan_train_roc_auc,chan_train_prec_rem,chan_train_rec_rem,chan_train_prec_for,chan_train_rec_for,chan_train_f1_macro,chan_train_f1_weighted,chan_train_tp,chan_train_tn,chan_train_fp,chan_train_fn,chan_test_acc,chan_test_bal_acc,chan_test_roc_auc,chan_test_prec_rem,chan_test_rec_rem,chan_test_prec_for,chan_test_rec_for,chan_test_f1_macro,chan_test_f1_weighted,chan_test_tp,chan_test_tn,chan_test_fp,chan_test_fn,sac_train_acc,sac_train_bal_acc,sac_train_roc_auc,sac_train_prec_rem,sac_train_rec_rem,sac_train_prec_for,sac_train_rec_for,sac_train_f1_macro,sac_train_f1_weighted,sac_train_best_thr,sac_train_best_bal,sac_train_tp,sac_train_tn,sac_train_fp,sac_train_fn,sac_test_acc,sac_test_bal_acc,sac_test_roc_auc,sac_test_prec_rem,sac_test_rec_rem,sac_test_prec_for,sac_test_rec_for,sac_test_f1_macro,sac_test_f1_weighted,sac_test_best_thr,sac_test_best_bal,sac_test_tp,sac_test_tn,sac_test_fp,sac_test_fn,trial_train_mean_acc,trial_train_mean_bal_acc,trial_train_mean_roc_auc,trial_train_mean_prec_rem,trial_train_mean_rec_rem,trial_train_mean_prec_for,trial_train_mean_rec_for,trial_train_mean_f1_macro,trial_train_mean_f1_weighted,trial_train_mean_best_thr,trial_train_mean_best_bal,trial_train_mean_tp,trial_train_mean_tn,trial_train_mean_fp,trial_train_mean_fn,trial_train_count_acc,trial_train_count_bal_acc,trial_train_count_roc_auc,trial_train_count_prec_rem,trial_train_count_rec_rem,trial_train_count_prec_for,trial_train_count_rec_for,trial_train_count_f1_macro,trial_train_count_f1_weighted,trial_train_count_best_thr,trial_train_count_best_bal,trial_train_count_tp,trial_train_count_tn,trial_train_count_fp,trial_train_count_fn,trial_train_ratio_acc,trial_train_ratio_bal_acc,trial_train_ratio_roc_auc,trial_train_ratio_prec_rem,trial_train_ratio_rec_rem,trial_train_ratio_prec_for,trial_train_ratio_rec_for,trial_train_ratio_f1_macro,trial_train_ratio_f1_weighted,trial_train_ratio_best_thr,trial_train_ratio_best_bal,trial_train_ratio_tp,trial_train_ratio_tn,trial_train_ratio_fp,trial_train_ratio_fn,trial_train_max_acc,trial_train_max_bal_acc,trial_train_max_roc_auc,trial_train_max_prec_rem,trial_train_max_rec_rem,trial_train_max_prec_for,trial_train_max_rec_for,trial_train_max_f1_macro,trial_train_max_f1_weighted,trial_train_max_best_thr,trial_train_max_best_bal,trial_train_max_tp,trial_train_max_tn,trial_train_max_fp,trial_train_max_fn,trial_train_min_acc,trial_train_min_bal_acc,trial_train_min_roc_auc,trial_train_min_prec_rem,trial_train_min_rec_rem,trial_train_min_prec_for,trial_train_min_rec_for,trial_train_min_f1_macro,trial_train_min_f1_weighted,trial_train_min_best_thr,trial_train_min_best_bal,trial_train_min_tp,trial_train_min_tn,trial_train_min_fp,trial_train_min_fn,trial_test_mean_acc,trial_test_mean_bal_acc,trial_test_mean_roc_auc,trial_test_mean_prec_rem,trial_test_mean_rec_rem,trial_test_mean_prec_for,trial_test_mean_rec_for,trial_test_mean_f1_macro,trial_test_mean_f1_weighted,trial_test_mean_best_thr,trial_test_mean_best_bal,trial_test_mean_tp,trial_test_mean_tn,trial_test_mean_fp,trial_test_mean_fn,trial_test_count_acc,trial_test_count_bal_acc,trial_test_count_roc_auc,trial_test_count_prec_rem,trial_test_count_rec_rem,trial_test_count_prec_for,trial_test_count_rec_for,trial_test_count_f1_macro,trial_test_count_f1_weighted,trial_test_count_best_thr,trial_test_count_best_bal,trial_test_count_tp,trial_test_count_tn,trial_test_count_fp,trial_test_count_fn,trial_test_ratio_acc,trial_test_ratio_bal_acc,trial_test_ratio_roc_auc,trial_test_ratio_prec_rem,trial_test_ratio_rec_rem,trial_test_ratio_prec_for,trial_test_ratio_rec_for,trial_test_ratio_f1_macro,trial_test_ratio_f1_weighted,trial_test_ratio_best_thr,trial_test_ratio_best_bal,trial_test_ratio_tp,trial_test_ratio_tn,trial_test_ratio_fp,trial_test_ratio_fn,trial_test_max_acc,trial_test_max_bal_acc,trial_test_max_roc_auc,trial_test_max_prec_rem,trial_test_max_rec_rem,trial_test_max_prec_for,trial_test_max_rec_for,trial_test_max_f1_macro,trial_test_max_f1_weighted,trial_test_max_best_thr,trial_test_max_best_bal,trial_test_max_tp,trial_test_max_tn,trial_test_max_fp,trial_test_max_fn,trial_test_min_acc,trial_test_min_bal_acc,trial_test_min_roc_auc,trial_test_min_prec_rem,trial_test_min_rec_rem,trial_test_min_prec_for,trial_test_min_rec_for,trial_test_min_f1_macro,trial_test_min_f1_weighted,trial_test_min_best_thr,trial_test_min_best_bal,trial_test_min_tp,trial_test_min_tn,trial_test_min_fp,trial_test_min_fn
0,0.8806739649613752,0.8432995642331775,0.9347715113255399,0.9317454266730609,0.9121412449215027,0.7231028966354514,0.7744578835448525,0.8348694833589202,0.8820856178506913,454634,114358,33304,43791,0.6855335094293261,0.5388468213677865,0.5511266201570514,0.791632261984514,0.806112574166323,0.28977801022780103,0.27158106856925,0.5395957026677106,0.6818616573978125,101625,9973,26749,24443,0.9854752131354594,0.9905737704918033,0.9926657947550003,1.0,0.9811475409836066,0.9404915912031048,1.0,0.9799087022479658,0.9856288181149584,0.49,0.9905737704918033,2394,727,0,46,0.7648546144121365,0.5812383612662942,0.5837441121700078,0.8060344827586207,0.9166666666666666,0.4631578947368421,0.24581005586592178,0.5894830241746467,0.7363609711240338,0.48,0.5812383612662942,561,44,135,51,0.9850299401197605,0.9901574803149606,0.9921382874015748,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.48,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9901574803149606,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,1,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9901574803149606,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.01,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9925442913385828,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.49,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9921259842519685,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.48,0.9901574803149606,498,160,0,10,0.5449101796407185,0.5894685039370079,0.5990157480314962,0.8311688311688312,0.5039370078740157,0.3,0.675,0.5214177978883862,0.5766566414681948,0.55,0.5894685039370079,64,27,13,63,0.6826347305389222,0.5943897637795276,0.6113188976377953,0.8083333333333333,0.7637795275590551,0.3617021276595745,0.425,0.5881148494578622,0.6909052201335149,3,0.5943897637795276,97,17,23,30,0.7485029940119761,0.5691929133858268,0.5691929133858268,0.7891156462585034,0.9133858267716536,0.45,0.225,0.5733576642335766,0.7157655491935836,0.01,0.5691929133858268,116,9,31,11,0.5748502994011976,0.5749015748031496,0.6064960629921261,0.8111111111111111,0.5748031496062992,0.2987012987012987,0.575,0.5329867265351136,0.6058293433220998,0.55,0.5749015748031496,73,23,17,54,0.7664670658682635,0.5724409448818898,0.5893700787401575,0.7894736842105263,0.9448818897637795,0.5333333333333333,0.2,0.5755620723362659,0.7238543440977283,0.46,0.5724409448818898,120,8,32,7
1,0.8844899226914441,0.8372796983813497,0.9374178599066042,0.9269687469933613,0.9234850572509176,0.7415396860729438,0.7510743395117818,0.8357500912686036,0.8847501250666885,462461,109934,36435,38317,0.7189204229271007,0.5735085645316134,0.6028592788528708,0.7974472807991121,0.8479246655619771,0.37668963689371854,0.2990924635012495,0.577673832261002,0.7070943753973382,104901,11370,26645,18814,0.9823343848580441,0.9885900570497148,0.9989658885504455,1.0,0.9771801140994295,0.927461139896373,1.0,0.9754119795406395,0.9825648573299672,0.49,0.9885900570497148,2398,716,0,56,0.7309644670050761,0.6593557472276008,0.6998415771871149,0.8397887323943662,0.7976588628762542,0.45,0.5210526315789473,0.6505543237250555,0.7373462244082524,0.53,0.6593557472276008,477,99,91,121,0.9820359281437125,0.9881889763779528,0.9992495078740158,1.0,0.9763779527559056,0.9302325581395349,1.0,0.9759516152258436,0.9822532250336364,0.48,0.9881889763779528,496,160,0,12,0.9820359281437125,0.9881889763779528,0.9881889763779528,1.0,0.9763779527559056,0.9302325581395349,1.0,0.9759516152258436,0.9822532250336364,1,0.9881889763779528,496,160,0,12,0.9820359281437125,0.9881889763779528,0.9881889763779528,1.0,0.9763779527559056,0.9302325581395349,1.0,0.9759516152258436,0.9822532250336364,0.01,0.9881889763779528,496,160,0,12,0.9820359281437125,0.9881889763779528,0.9992249015748031,1.0,0.9763779527559056,0.9302325581395349,1.0,0.9759516152258436,0.9822532250336364,0.49,0.9881889763779528,496,160,0,12,0.9820359281437125,0.9881889763779528,0.9990280511811023,1.0,0.9763779527559056,0.9302325581395349,1.0,0.9759516152258436,0.9822532250336364,0.48,0.9881889763779528,496,160,0,12,0.7664670658682635,0.7094488188976378,0.7372047244094487,0.8666666666666667,0.8188976377952756,0.5106382978723404,0.6,0.6969147005444646,0.7725528978340958,0.53,0.7094488188976378,104,24,16,23,0.7664670658682635,0.649507874015748,0.6754921259842519,0.8283582089552238,0.8740157480314961,0.5151515151515151,0.425,0.6581640686506062,0.7584019490541826,1,0.649507874015748,111,17,23,16,0.7485029940119761,0.7062007874015748,0.7132874015748032,0.8695652173913043,0.7874015748031497,0.4807692307692308,0.625,0.6849622709306504,0.7586695097049881,0.61,0.7062007874015748,100,25,15,27,0.6407185628742516,0.6781496062992126,0.7374015748031496,0.8850574712643678,0.6062992125984252,0.375,0.75,0.6098130841121495,0.667021097990934,0.54,0.6781496062992126,77,30,10,50,0.688622754491018,0.6839566929133858,0.7340551181102363,0.8712871287128713,0.6929133858267716,0.4090909090909091,0.675,0.6406818934127771,0.7090565641309239,0.53,0.6839566929133858,88,27,13,39
2,0.8803313980643186,0.8214182529152287,0.9348084714016236,0.9154200935078075,0.9305481623134141,0.7539846307101181,0.7122883435170434,0.8277328846504344,0.879120248568658,463252,105965,42802,34575,0.6908918370993881,0.5256996161787363,0.5478002667268735,0.7914111364207735,0.8201332638592834,0.265538362346873,0.23126596849818906,0.5263681298124007,0.6829843921210483,103883,8237,27380,22783,0.9863880974992086,0.9911595394736843,0.9884059626800841,1.0,0.9823190789473685,0.9441558441558442,1.0,0.9811782868786734,0.9865228880266954,0.49,0.9911595394736843,2389,727,0,43,0.5619524405506884,0.5985312668949361,0.6450892052622094,0.8461538461538461,0.532258064516129,0.29095354523227385,0.664804469273743,0.5291136256482791,0.597748305136253,0.54,0.5985312668949361,330,119,60,290,0.9850299401197605,0.9901574803149606,0.9870816929133859,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.49,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9901574803149606,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,1,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9901574803149606,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.01,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9870939960629922,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.49,0.9901574803149606,498,160,0,10,0.9850299401197605,0.9901574803149606,0.9871555118110237,1.0,0.9803149606299213,0.9411764705882353,1.0,0.9798783059220435,0.9851823553327106,0.49,0.9901574803149606,498,160,0,10,0.5748502994011976,0.6005905511811024,0.6521653543307087,0.8333333333333334,0.5511811023622047,0.3132530120481928,0.65,0.5431356683235079,0.6058441434089398,0.54,0.6005905511811024,70,26,14,57,0.6107784431137725,0.6156496062992126,0.622244094488189,0.8369565217391305,0.6062992125984252,0.3333333333333333,0.625,0.5689894778638078,0.638905631262787,1,0.6156496062992126,77,25,15,50,0.6107784431137725,0.6242125984251969,0.6121062992125984,0.8444444444444444,0.5984251968503937,0.33766233766233766,0.65,0.5724526369687659,0.6391395396610772,0.15,0.6242125984251969,76,26,14,51,0.6107784431137725,0.6156496062992126,0.6539370078740158,0.8369565217391305,0.6062992125984252,0.3333333333333333,0.625,0.5689894778638078,0.638905631262787,0.54,0.6156496062992126,77,25,15,50,0.7065868263473054,0.6443897637795275,0.6458661417322835,0.8362068965517241,0.7637795275590551,0.4117647058823529,0.525,0.6299461855017411,0.717679550680216,0.53,0.6443897637795275,97,21,19,30
3,0.8923626619026351,0.8584135867787555,0.9466084369000698,0.9383253928028383,0.9209812571760599,0.7491456042047012,0.7958459163814509,0.8506811934199914,0.8934873980191099,462829,118589,30421,39710,0.7360800366114105,0.5943781128593004,0.6323423151728135,0.8158010459692492,0.8518703773553963,0.39747181642318724,0.3368858483632046,0.5990626243843249,0.728047180016703,103889,11917,23457,18065,0.9984296482412061,0.9989804241435563,1.0,1.0,0.9979608482871125,0.9932157394843962,1.0,0.9977878537888076,0.9984315193620585,0.48,0.9989804241435563,2447,732,0,5,0.8333333333333334,0.6701149425287356,0.7530651340996168,0.841799709724238,0.9666666666666667,0.7647058823529411,0.3735632183908046,0.7009264612057475,0.8104513690239059,0.49,0.6701149425287356,580,65,109,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,1.0,508,160,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,508,160,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,508,160,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,1.0,508,160,0,0,0.9940119760479041,0.9960629921259843,1.0,1.0,0.9921259842519685,0.975609756097561,1.0,0.9918508759088469,0.9940371051192886,0.48,0.9960629921259843,504,160,0,4,0.8023952095808383,0.6560039370078741,0.7385826771653543,0.8263888888888888,0.937007874015748,0.6521739130434783,0.375,0.6772096292391495,0.7819321820249853,0.52,0.6560039370078741,119,15,25,8,0.7784431137724551,0.6573818897637795,0.6975393700787402,0.8308823529411765,0.889763779527559,0.5483870967741935,0.425,0.669094414395116,0.7681916732058295,2,0.6573818897637795,113,17,23,14,0.8143712574850299,0.6553149606299212,0.6553149606299212,0.8243243243243243,0.9606299212598425,0.7368421052631579,0.35,0.680924499229584,0.7884232767131377,0.01,0.6553149606299212,122,14,26,5,0.8023952095808383,0.6560039370078741,0.7332677165354332,0.8263888888888888,0.937007874015748,0.6521739130434783,0.375,0.6772096292391495,0.7819321820249853,0.52,0.6560039370078741,119,15,25,8,0.7844311377245509,0.6613188976377953,0.7299212598425197,0.8321167883211679,0.8976377952755905,0.5666666666666667,0.425,0.6746753246753247,0.7731161054514347,0.52,0.6613188976377953,114,17,23,13
4,0.8786753005211673,0.8414816943433268,0.9344571207587893,0.9321342343713368,0.9094126640489724,0.7140242087194462,0.7735507246376812,0.8316148710808922,0.88035428291097,453254,112728,33000,45149,0.6924538380294514,0.5550325692248362,0.5738385894207806,0.7904392227536332,0.8139662146086128,0.32793742658224223,0.2960989238410596,0.5566180947818611,0.686863221555522,102633,11446,27210,23457,0.9876269035532995,0.9919753086419754,0.989318080776991,1.0,0.9839506172839506,0.9487516425755584,1.0,0.9828061737652323,0.9877395509240211,0.49,0.9919753086419754,2391,722,0,39,0.7977667493796526,0.6259523975954145,0.6448255976513351,0.8218793828892006,0.9421221864951769,0.6129032258064516,0.30978260869565216,0.6447274841466217,0.7714405241694338,0.51,0.6259523975954145,586,57,127,36,0.9865269461077845,0.9911417322834646,0.9879552165354331,1.0,0.9822834645669292,0.9467455621301775,1.0,0.9818534694826186,0.9866510207084526,0.48,0.9911417322834646,499,160,0,9,0.9865269461077845,0.9911417322834646,0.9911417322834646,1.0,0.9822834645669292,0.9467455621301775,1.0,0.9818534694826186,0.9866510207084526,1,0.9911417322834646,499,160,0,9,0.9865269461077845,0.9911417322834646,0.9911417322834646,1.0,0.9822834645669292,0.9467455621301775,1.0,0.9818534694826186,0.9866510207084526,0.01,0.9911417322834646,499,160,0,9,0.9865269461077845,0.9911417322834646,0.9884350393700787,1.0,0.9822834645669292,0.9467455621301775,1.0,0.9818534694826186,0.9866510207084526,0.49,0.9911417322834646,499,160,0,9,0.9865269461077845,0.9911417322834646,0.9884227362204725,1.0,0.9822834645669292,0.9467455621301775,1.0,0.9818534694826186,0.9866510207084526,0.48,0.9911417322834646,499,160,0,9,0.7964071856287425,0.643503937007874,0.6872047244094489,0.8206896551724138,0.937007874015748,0.6363636363636364,0.35,0.6633064516129032,0.7735899169403129,0.51,0.643503937007874,119,14,26,8,0.7784431137724551,0.6488188976377953,0.6316929133858269,0.8260869565217391,0.8976377952755905,0.5517241379310345,0.4,0.6620727372162976,0.7653811327304374,2,0.6488188976377953,114,16,24,13,0.7964071856287425,0.643503937007874,0.6435039370078741,0.8206896551724138,0.937007874015748,0.6363636363636364,0.35,0.6633064516129032,0.7735899169403129,0.01,0.643503937007874,119,14,26,8,0.7964071856287425,0.643503937007874,0.6781496062992126,0.8206896551724138,0.937007874015748,0.6363636363636364,0.35,0.6633064516129032,0.7735899169403129,0.51,0.643503937007874,119,14,26,8,0.7544910179640718,0.658759842519685,0.6901574803149606,0.8359375,0.84251968503937,0.48717948717948717,0.475,0.660114172251179,0.7534185538082435,0.52,0.658759842519685,107,19,21,20
