train_mse_sin_ch,train_mse_cos_ch,train_mean_abs_ch_err,train_rmse_ch_err,train_mse_sin_sac,train_mse_cos_sac,train_sac_mean_abs_err,train_sac_rmse_err,test_mse_sin_ch,test_mse_cos_ch,test_mean_abs_ch_err,test_rmse_ch_err,test_mse_sin_sac,test_mse_cos_sac,test_sac_mean_abs_err,test_sac_rmse_err,fold,perm,max_depth,min_samples_leaf,n_estimators
0.3787396797021012,0.46593404454099274,30.613780102345736,42.42207111907293,0.37978728598780415,0.46096366202812,13.831074195807847,18.099968886654054,0.43361044335519244,0.5726863906087112,89.79512867213232,104.09031251421433,0.4339102118811318,0.5674249472663855,89.43219573221081,104.38513718854495,0,obs,40,20,100
0.3775352484865223,0.47104192721938054,29.383535894653082,40.64078398258727,0.3790659746517863,0.4658954485498238,10.757075237771101,14.257350348288906,0.44698613327065756,0.5544276741210947,88.30386490597981,102.62882901492229,0.44595208798684394,0.5511286889806896,86.11396696624585,98.88053292319799,1,obs,40,20,100
0.3731616671740019,0.46807959024571916,30.47483750499754,41.89959689664569,0.3739051082383662,0.46337053079766605,13.807712857195696,16.791060027972406,0.4568275872686849,0.5472084814446208,89.5491648923378,103.56933598659256,0.4593564715196171,0.5401385957981911,90.051499008822,102.77645399204799,2,obs,40,20,100
0.37698741884810777,0.46256478637924836,30.38181818741887,41.993259926957926,0.3772855506344975,0.4582377167132413,13.786397413717593,17.808570631652227,0.4321909648395841,0.573038311808049,89.65814105943385,103.8369796036732,0.43590454344813306,0.5642604419952418,88.6345412300824,101.82507793843851,3,obs,40,20,100
0.3820985694544765,0.4666794023655393,29.337209448118728,40.56992853720829,0.3834610114024801,0.4617866807777956,11.634586594542924,14.210031644723234,0.42273231573554276,0.5784304020052247,88.3610143160257,102.77833847558556,0.42324407096529404,0.5739345640909599,86.50681086243472,99.48392074495317,4,obs,40,20,100
0.3783916839753103,0.4654799815866231,27.824436013328505,38.62805645869374,0.37971877309387264,0.46095270543075134,13.782016555267152,18.033581703327563,0.43329586008763515,0.5721199835406395,89.67625732607016,104.05019166739193,0.43388348199005106,0.5673575522912636,89.39063744502985,104.32869121237519,0,obs,40,20,200
0.37697238390733606,0.47011181234214267,26.361807463466846,36.41685116141629,0.3787566476850489,0.4654059440621079,10.696866033205385,14.189159000840931,0.44670950910533647,0.5539850753020782,88.21347731009591,102.47871360687193,0.4459268273824747,0.5511431866777526,86.0867638152983,98.80001692166472,1,obs,40,20,200
0.37307388872222075,0.4678900945219314,27.83787368374895,38.21802852695361,0.37410882477812685,0.4636486325876847,13.81901020788006,16.78168203558567,0.45655925464381625,0.5467066089377981,89.64019177316474,103.61541862790014,0.45940774452672617,0.5401594589551469,90.09079084077511,102.78127131487211,2,obs,40,20,200
0.3766030492302184,0.46200125326028174,27.598613855052893,38.21256549654688,0.3771961895027177,0.45813273246822367,13.724597889483496,17.713660477733796,0.4318487889596254,0.5725955090558583,89.55497105304578,103.71184260771815,0.43586044592125756,0.5642972444270589,88.66131692460968,101.77843734218294,3,obs,40,20,200
0.38122311546540427,0.46534909961018533,26.254327162702648,36.26187584384789,0.3828448623810319,0.4608740163615876,11.531812166383773,14.054711562140007,0.42243728398990676,0.5780771627530945,88.35029214602224,102.70703395823236,0.42322656148140453,0.5740148104575347,86.68787436297549,99.54661716336223,4,obs,40,20,200
0.37866798217021785,0.4658373362582715,26.090817529805648,36.21637998991911,0.38018190262655743,0.46159539483197326,13.852713489155004,18.091360533423153,0.4330981869228741,0.5717343031175285,89.53319071728433,103.92582068160552,0.43386425368581083,0.5672730949682689,89.36638522026028,104.27722395512957,0,obs,40,20,500
0.3768616398664653,0.46993255114620863,24.439397328099453,33.74069005390103,0.37880288715305477,0.4654761853310353,10.717370153691707,14.189243346097165,0.44655643652187654,0.5537202397207956,88.23514533869913,102.4501181082301,0.4459396398575525,0.5511589435118153,86.24894183802735,98.74306387087145,1,obs,40,20,500
0.3727453310594415,0.46731390756895325,26.06504634289692,35.68659243547762,0.37393675003272747,0.46334157048790675,13.763629376801862,16.722738564617032,0.4564005367063848,0.5463557322600998,89.58671421330698,103.52866102775866,0.4594152922997496,0.5400878520767997,90.0010395592413,102.6962623385131,2,obs,40,20,500
0.3765394370275935,0.4619306919466504,25.889495456856178,35.844060048014846,0.37730894589785047,0.45834440318241604,13.759284723577741,17.763005477226574,0.4316094184168581,0.5723803005525587,89.58858700706152,103.7028431123666,0.4357971400343523,0.5643698611280639,88.72381087918329,101.79464458316544,3,obs,40,20,500
0.3814019495322551,0.4655472081921795,24.391066331351155,33.62484986692897,0.38320283657310705,0.46133980767595273,11.582636654984736,14.093651825233172,0.4222330198255153,0.5778104614880214,88.29102830993762,102.62306285791307,0.42320269397996846,0.5740518651316645,86.52456214069295,99.44145940183945,4,obs,40,20,500
0.33652179186352527,0.4062369842659083,19.08720972237958,26.054833518901983,0.3365879431766654,0.4006565488921443,7.731082610093433,9.81515511699359,0.43437214125227264,0.573695032546385,89.717332991823,104.02012717239411,0.43383545124930567,0.5673022409897728,89.15283345474003,104.1995464074297,0,obs,40,10,100
0.33724214309861866,0.41235699652786306,18.51609622226313,25.07634424042077,0.3378368327377699,0.4066921886308205,6.227008978361668,7.837847505103043,0.44789446612613093,0.5553091602337277,88.50316044586192,102.81508542430574,0.4460672634027787,0.5508664787876583,86.03949674357821,98.87850208440574,1,obs,40,10,100
0.33012659958788126,0.4050508681582361,18.667617325481547,25.141848036818363,0.32995920791461264,0.399774353831503,7.602014600010191,9.292552154886538,0.457647496318513,0.5486503956238569,89.61577744475709,103.69256911637586,0.45933533922142294,0.5402994129538031,90.28050903949205,102.94913182059423,2,obs,40,10,100
0.33282212538367917,0.39990139066672437,18.662856892488215,25.287347327971467,0.33226220941282864,0.39499039587574136,7.541114008353919,9.303094252231087,0.4330708707999446,0.5745069037732097,89.74552016884742,103.93139218591652,0.4359155110795798,0.5644371281356196,88.75358854779572,101.91734721441672,3,obs,40,10,100
0.3409951197816741,0.40930906515557036,18.482482456764135,25.050919098429425,0.34143764478805716,0.403903962528016,6.613702252783699,7.99074600512863,0.423624384976586,0.5795197250888258,88.68116056739774,103.03132185869134,0.42337604536644907,0.5739235607363037,86.56313312525222,99.47226884714028,4,obs,40,10,100
0.3359650926378412,0.4054339865501002,16.813739782759146,22.70006363262401,0.33649903646616064,0.40055336253803075,7.687516892627786,9.778578042950768,0.4338850512529627,0.5729025178967899,89.56268069788852,103.94788930514156,0.4338358497137535,0.5672536701011858,89.13578879414425,104.04794257935413,0,obs,40,10,200
0.3364217578854152,0.4111790698491348,16.160188228812224,21.55536816080608,0.3374386507616279,0.40621082575054934,6.19535937875555,7.810669872440742,0.4474379575874714,0.5547374631304647,88.45390791593849,102.7304610088225,0.4460514233515009,0.5510382647856672,85.95769444826384,98.89051311688463,1,obs,40,10,200
0.3300053990113296,0.4048073409064371,16.54172589922821,21.910166964945674,0.3303153101191627,0.40024430161638236,7.594054180221801,9.27282233895337,0.4571811637490518,0.5478248788035331,89.70291931121643,103.73140887944012,0.45939146184000845,0.540295664270677,90.12230493905518,102.85412675595369,2,obs,40,10,200
0.33222204509546627,0.3991159988887724,16.48113002764411,22.07403826162731,0.3321438464159709,0.3949174187965512,7.4841079942900315,9.242881444006011,0.43252774057872334,0.5735368397157196,89.67323287622607,103.8766605737455,0.43588982157747547,0.5642595265931233,88.79704386602197,102.00671134635043,3,obs,40,10,200
0.3392587285790293,0.40678864846395935,15.964455817731501,21.24289759218265,0.3401387864012143,0.40205717684214926,6.5195007477672435,7.870818795569335,0.4230830324928947,0.5789550147788205,88.64788255187652,103.01262311990295,0.42328972405286075,0.5740461948415572,86.66127006357752,99.53232803548157,4,obs,40,10,200
0.3366710510852222,0.4063889837691589,15.484798394281599,20.822014461593195,0.3375235049758726,0.40194475534014307,7.748715989705044,9.829434539725483,0.43363292865173175,0.5723726731540653,89.51359890296018,103.88779736873585,0.43389404606972987,0.5672035058711173,89.25249657421773,104.11698142659579,0,obs,40,10,500
0.33646934257414784,0.4112462269637504,14.711668583386755,19.480878875245875,0.3377448193995836,0.40665900570893,6.20353925389581,7.816569774739413,0.4470997709836774,0.5542998276991203,88.41631071749664,102.69347539789023,0.4460049903887403,0.5510427412308401,86.04685396462177,98.75570974519212,1,obs,40,10,500
0.32952412983904344,0.40397394839236034,15.187969339497863,19.949028952166312,0.33010349937272854,0.39983695314670475,7.561703016818087,9.245637450073769,0.4569451274353859,0.5473028633435277,89.58866913312411,103.6052652291744,0.4594474239533458,0.5402153236466336,90.0692005417385,102.77842967548976,2,obs,40,10,500
0.33186661833813874,0.39872846507765797,15.1159610499974,20.17393618448219,0.3320840050803461,0.3949654919371678,7.47978370458622,9.245602271345964,0.4321592053577409,0.5731252772053171,89.62137009628518,103.79347422018246,0.43582592070966714,0.5643148331249959,88.79960071744367,101.96495703512215,3,obs,40,10,500
