perm,fold,epoch,train_mse_sin_ch,train_mse_cos_ch,train_mse_ang_ch,train_mse_sin_sac,train_mse_cos_sac,train_mse_ang_sac,test_mse_sin_ch,test_mse_cos_ch,test_mse_ang_ch,test_mse_sin_sac,test_mse_cos_sac,test_mse_ang_sac
obs,0,1,0.6939676059571562,1.235157937424054,10334.76128396327,0.5826675319740086,1.219943589175452,10346.086875265455,0.6807533084592094,1.3151299929421745,10900.035886394475,0.5682369796710337,1.2930799802134456,10948.146972955281
obs,0,2,0.6961044307315025,1.233198081891254,10309.081241744658,0.6103587824530728,1.2219446364067554,10295.852933491722,0.6801994106730509,1.312988457285486,10880.539228894933,0.5933408581957023,1.294871640050509,10900.730157058277
obs,0,3,0.6554369519417531,1.2733001306544633,10404.541515390061,0.549814957318391,1.2621911566821093,10452.134834278211,0.646164175851469,1.3551667088150163,10998.564899831308,0.53960193005265,1.3369318904597458,11064.215159043197
obs,0,4,0.7087317816320613,1.2198246453401376,10314.403927886553,0.577784423460999,1.2043566224738385,10350.837027194362,0.7005200565166292,1.2970414590624815,10897.787985208342,0.5671608231561353,1.2747970165363256,10975.793883415172
obs,0,5,0.7699869891225387,1.158369691985031,10232.081656107986,0.6269560257743144,1.1407096923820679,10246.663458588968,0.7574185358370692,1.233296421947593,10772.173068457887,0.6133563251042794,1.2089267280903213,10820.189211383346
obs,0,6,0.7176751093433248,1.2104176738787418,10333.113935457777,0.5608084360068397,1.1919977470342125,10406.006741771753,0.7097685672238242,1.289001922968826,10892.298181961438,0.5519785650754471,1.2637878894432646,10993.294744950937
obs,0,7,0.643726178572989,1.2849316824579684,10480.627865355786,0.507445095256585,1.271133188461034,10615.062003792267,0.6417980215922982,1.367825533904632,11093.538953259063,0.5043677011236811,1.3470759254971065,11238.205254713765
obs,0,8,0.7226028128281965,1.205013136553837,10268.244245963031,0.6161424445038445,1.1901252532533306,10261.225225575237,0.7092222993876466,1.2823454500033906,10828.253235065757,0.6008328860825735,1.2606876572846972,10860.045458540812
obs,0,9,0.7226008839647226,1.20466138888688,10311.997473988707,0.5761285359998115,1.183925847106395,10352.936141613825,0.7128618618648739,1.2833991577173816,10864.375240268926,0.5654661124211114,1.2558084169978498,10935.836358191136
obs,0,10,0.7097730744160737,1.217127286953977,10302.305349057247,0.5967344519871214,1.1992241072728695,10309.609593806566,0.6983125244226747,1.2958786037896972,10868.095045809801,0.5841435507173347,1.271113106755039,10907.992356024928
