train_mse_sin_ch,train_mse_cos_ch,train_mean_abs_ch_err,train_rmse_ch_err,train_mse_sin_sac,train_mse_cos_sac,train_sac_mean_abs_err,train_sac_rmse_err,test_mse_sin_ch,test_mse_cos_ch,test_mean_abs_ch_err,test_rmse_ch_err,test_mse_sin_sac,test_mse_cos_sac,test_sac_mean_abs_err,test_sac_rmse_err,fold,perm
0.3449186737384658,0.48929620720693284,32.11754287625687,49.800365280970844,0.3438918203187673,0.48074284883245966,6.996046762307122,8.123809764876604,0.3714250160699443,0.631622215625852,90.47279405639385,104.90190817483827,0.3759069201233519,0.6237765330982564,88.61180196351516,101.45328350539104,0,obs
0.32636719536157727,0.483037444363358,30.617673769716784,46.5111605407968,0.3263606351336907,0.4744807047403547,10.48365711882343,12.02162634298991,0.4224552944220834,0.5823419367378274,90.14028698604777,104.22661229357725,0.42532538687863375,0.5754606285555752,91.41015054646084,104.18147834637287,1,obs
0.32336387378130016,0.4868833353924609,31.797051025145905,49.0797138012312,0.32241069245945436,0.47863455232971996,9.852260065018175,11.376950211853298,0.435538372971983,0.567218171844916,89.5123578762987,104.06776597436709,0.4419359471206002,0.5568899205047538,89.30512836154325,104.19310235824612,2,obs
0.32765190434478625,0.46729049503961534,26.760747236475748,42.83831347751998,0.3275278829570666,0.45778535753036403,7.752607143985427,9.051142051462772,0.38522410805867396,0.6167653249184258,89.13067861579889,104.1571931686302,0.38586214681564024,0.612132966546239,87.98537079786264,103.52568657441672,3,obs
0.32913250489251394,0.476517717440284,30.848889181958995,46.94576000970452,0.3297136134775812,0.46669908720789666,10.550106307697702,11.95710714829656,0.3985020469101263,0.6059460032286351,90.06036898976403,104.11882971485304,0.3965128620102384,0.604470747321698,90.75252632783906,103.26516407740536,4,obs
0.3401179993865218,0.4990607173189006,21.58964033788528,34.42927047971478,0.3370527287985899,0.4963330169777158,4.77311059382771,5.911949257263334,0.4221735567138656,0.5795252281955899,89.4166828948078,103.8234359717797,0.42449256169390653,0.5746706435513246,89.04967817129086,103.18782678756105,0,0
0.34417437558671155,0.4918921211908386,33.225763001423,49.89090894704057,0.34141255738855003,0.48845736138047685,13.911713666843664,15.705237067698706,0.4016691747790745,0.6069559266117079,93.25108824426272,107.27695268383447,0.4009127039873527,0.6045168191516066,94.4142921284514,108.67680121000673,1,0
0.34379053102514967,0.4924184168728834,26.9045843218462,42.50671684248566,0.3419048931026275,0.4888900106821761,6.763900785186728,8.460222103796863,0.4005146358299451,0.6030686658011455,90.39123399619545,104.34337187278551,0.3975817066189299,0.6035885372238612,90.89476774431694,103.20752533720004,2,0
0.34360638127660004,0.4998107660673469,22.851967386151188,36.21312412921323,0.3415575973060098,0.4957861343523535,5.599178835907551,6.816402255398786,0.41451385793906015,0.5878308669009448,89.4256559700026,103.64774131973253,0.4111443695621457,0.5887082803427136,89.26232805799529,102.14674204661442,3,0
0.3455393469813685,0.488567148400215,17.877472594603127,28.359004285786515,0.34353359745171047,0.4854722512525949,3.101241910111101,3.818546313735769,0.38974629935815275,0.6132538798958793,90.28362630176758,104.73513447134778,0.38819160119478313,0.6124804280984653,93.63735039229508,107.74130903886945,4,0
0.3584119643910456,0.5081057143209151,38.2574024960415,57.69816460723452,0.35385399784775634,0.5062060681200925,12.537805937031486,14.421346690538593,0.39415159514338133,0.6106316027970613,90.95348018502715,105.88121950634596,0.39211135589817026,0.6106322997892712,91.862462655778,106.81155491216794,0,1
0.3467262534760711,0.49482316501748863,21.12924054833031,34.07610441047799,0.34290687704868883,0.4932472649833352,3.7931941155059943,4.678497083027198,0.40401449438408515,0.5993367423101916,90.68667594622275,105.01273029585761,0.4003316131363263,0.6006163479171415,90.92998382280986,104.87387078409532,1,1
0.353824828719861,0.5174580551848529,35.61841311752808,51.798559426581065,0.34976306272297464,0.516362856383857,13.34898121027695,15.145666295184835,0.4243743775827732,0.5791581471417754,90.75446655973495,104.15009916379488,0.42295162199464453,0.5785656167075302,90.32059175391615,102.72283799783264,2,1
