train_mse_sin_ch,train_mse_cos_ch,train_mean_abs_ch_err,train_rmse_ch_err,train_mse_sin_sac,train_mse_cos_sac,train_sac_mean_abs_err,train_sac_rmse_err,test_mse_sin_ch,test_mse_cos_ch,test_mean_abs_ch_err,test_rmse_ch_err,test_mse_sin_sac,test_mse_cos_sac,test_sac_mean_abs_err,test_sac_rmse_err,fold,perm
0.38083730278706773,0.4809843713521443,39.75144630033513,58.18919198647631,0.3811940329437273,0.4746029036138378,14.991410376403769,16.85731759876348,0.43291608008212534,0.5709952650035282,89.57555960581078,104.0632772605028,0.434013012338475,0.5672238619257027,89.44954481536259,104.34635185369483,0,obs
0.3788742951611872,0.4849340050516732,34.45696530724793,51.28271282725521,0.3797958198914319,0.47845367567864727,10.85850649971445,12.116009517700242,0.4463337263038354,0.5533356751846007,87.64671369442084,101.61869838363108,0.446030974974386,0.551397798652474,86.39126023883735,98.68569667530092,1,obs
0.37195316499215064,0.47930554437239753,36.769121212412955,53.50771603879316,0.3719481068386269,0.4732363475441457,14.196520802842683,15.936662919564851,0.45650015884358286,0.5453325013256043,89.61290419104095,103.21136371594616,0.45983631860765517,0.5397539020108678,89.84335947258492,102.3331175965392,2,obs
0.3772656113671664,0.4740096851978564,36.29590334942444,53.347406350981856,0.37689702308022455,0.4684913288900357,14.482057286688605,16.14536705729165,0.43129921182015546,0.5715427470593674,89.34233512519465,103.26399786127013,0.4358415187778831,0.564304061717915,88.48912754274086,101.63162848606726,3,obs
0.38680415008972563,0.48386300631974205,35.47149622070974,52.2912373429591,0.38795007686475236,0.4782159652138025,13.756619499900713,15.565884599235623,0.4219340247176244,0.5772514255939317,87.87406241397194,101.91027596105228,0.42322730840998257,0.5741485672550662,86.66728582351752,99.5058180190629,4,obs
0.4132332889828509,0.5286254351548048,55.775476323017,73.63313016745957,0.43012046506631824,0.5681755165338396,86.34768508705214,100.01007235349914,0.438149681996648,0.5619009513207999,88.42459835466165,102.40028336968783,0.4179073413272443,0.5818107917768233,88.46525820609926,102.26627864343575,0,0
0.4130588663512671,0.5269566106064296,54.4543543143998,72.33637406829297,0.4292906784032699,0.5691227600472227,86.49492555005372,100.19834850343112,0.43570126459345804,0.5642829961733421,88.35280108048269,102.30398533787128,0.42108596506024626,0.5781381914388204,87.56496186627366,100.65216062354236,1,0
0.4121437976067468,0.5274854189085445,52.56341216058283,70.21853480832729,0.422818304485924,0.576046268283406,87.23011532668,100.63229325631335,0.4387373936912063,0.5611988490719494,88.29894557650533,102.20367044905096,0.44706551929875327,0.5505189002172,84.89772242571023,98.47059265358925,2,0
0.41127229753341654,0.525353068343097,53.47316506493059,71.25436911754136,0.4269480508149149,0.5713356990070317,86.2847198405519,100.01486548377105,0.43737721758194165,0.5625436163332663,88.25724384995661,102.3130587631776,0.43060276305887085,0.5690966892049012,88.557709652713,102.21367775390455,3,0
0.4118983224686561,0.526208994474224,52.855624683125505,70.72463146502402,0.4290356762807514,0.569839451825764,87.14672283240343,100.67389117779562,0.4373970281524371,0.5625842888341931,88.4741460630193,102.50324631749945,0.42224028403715663,0.575275399676138,84.96967964328736,99.09309437610614,4,0
