perm,fold,epoch,train_mse_ang_ch,train_mse_ang_sac,test_mse_ang_ch,test_mse_ang_sac
obs,0,39,10796.761391075703,10768.528639985065,10773.357125671537,10363.807904179459
obs,0,40,10789.626632321439,10828.118195256075,10763.657025556879,10403.207805044553
obs,0,41,10795.497415038351,10756.641113985183,10831.564502491494,11148.893720378315
obs,0,42,10789.323390006737,10758.741410033512,10768.734616266744,10701.5336791499
obs,0,43,10810.80008850673,10837.938340512024,10772.320282569826,10435.97152166465
obs,0,44,10807.844336949782,10925.632997853403,10804.940431817777,11211.561021373951
obs,0,45,10834.622765283999,11074.621437849606,10803.661235946573,10758.29333064328
obs,0,46,10801.972993476287,10804.653840574076,10782.19740296724,10517.300577417147
obs,0,47,10789.734677525854,10651.842083018206,10802.978040228578,10834.585653908518
obs,0,48,10811.643948404066,10968.62571669847,10775.643323268376,10511.025877914153
obs,0,49,10797.889801158319,10696.214109279794,10824.329747627735,11371.235034910813
obs,0,50,10804.621453182795,10996.472885672669,10778.482270551782,10447.095240771496
obs,1,1,10806.56698300912,10830.143531201262,10743.904333589599,10368.600727203126
obs,1,2,10780.822606235442,10560.205357824363,10819.277951911412,11117.135392999442
obs,1,3,10794.886019086816,10848.896256578611,10802.497682274823,10636.784953508868
obs,1,4,10797.417334038519,10668.193181690724,10797.423315635073,10782.068362918577
obs,1,5,10806.419205254058,11016.281944628603,10857.562458613587,11691.575232221501
obs,1,6,10800.800433123206,10854.901157373928,10799.182667552148,10787.974302213574
obs,1,7,10797.469919224937,10691.009488330385,10852.688657377954,11252.50539187459
obs,1,8,10815.198438879586,10965.238363993314,10809.085592659203,11070.641498662277
obs,1,9,10816.220474905682,10926.883204059772,10822.50349010862,10955.638930368232
obs,1,10,10801.701145216135,10765.456653395711,10761.14446021998,10527.13207089032
obs,1,11,10799.207142119303,10862.324550739151,10821.277911559027,11139.740497033312
obs,1,12,10820.34295821887,11110.345123254907,10786.179408761303,10895.413390246658
obs,1,13,10798.912585800792,10652.808201101898,10801.26290873826,11182.068866988966
obs,1,14,10843.599485484036,10880.525749004926,10958.619333315044,11188.32070467548
obs,1,15,10814.130730520212,11029.127946431212,10810.075999846262,11076.623842972365
obs,1,16,10796.47811639746,10957.400344659802,10795.761459156447,10771.527409654547
obs,1,17,10807.180447664,10888.413956028075,10790.87249339946,10871.301044570537
obs,1,18,10740.772074168908,10462.622552456678,10817.88871574523,10851.750850237397
obs,1,19,10674.543996534954,10519.08388437624,10684.53437456183,10614.703259154761
obs,1,20,10622.26441899672,10230.737393723952,10580.258228855026,10177.784978103053
obs,1,21,10422.42721124198,10073.43606612754,10326.887048163375,9931.608627535432
obs,1,22,10543.65810314134,9998.040954538008,10491.127826394435,9784.864734770315
obs,1,23,10345.795553023487,10026.916944920187,10084.802638728943,9683.876574370703
obs,1,24,10323.62587405327,9999.581035096231,10090.691066138641,9687.399816422683
obs,1,25,10281.940475660693,10053.857043681217,10032.59943800811,9750.15342595152
obs,1,26,10314.767442157985,10077.971379096694,9998.596836610637,9665.445936493803
obs,1,27,10394.646682727074,10196.777543783744,10118.92365074586,9759.442016416953
obs,1,28,10339.259036860789,10102.94882049018,10063.515059483398,9694.58872205406
obs,1,29,10308.563083803285,10030.228202887876,10071.21499171473,9681.26624482106
obs,1,30,10343.007247240339,10083.3894528385,10099.316711237614,9694.99426011667
obs,1,31,10286.439028994995,10049.579160004607,10038.671068094833,9681.855957352662
obs,1,32,10317.706776627472,10094.297799591219,10004.219882549876,9686.0115282403
obs,1,33,10337.950154065029,10129.368602202163,10083.794304360283,9739.72572833053
obs,1,34,10278.74963552478,10022.60957201612,10020.296774765582,9677.140307060876
obs,1,35,10269.373142082251,10010.434126184697,10036.4842579599,9683.046895768022
obs,1,36,10364.68568620327,10229.979783137183,10123.947476119709,9831.685779348616
obs,1,37,10411.551187630605,10276.465836786312,10203.858169755227,9910.984679507035
obs,1,38,10277.85472107241,10005.359278590418,10027.537014757738,9685.523523607026
obs,1,39,10363.41674912581,10187.399463201413,10132.378195461897,9810.45692465225
obs,1,40,10293.057975185078,10086.90468171142,10010.407432333866,9676.724603151448
obs,1,41,10288.553856532577,10056.638252372673,10028.787887995617,9679.798341033476
obs,1,42,10285.6390460437,10047.850896226197,10025.50761833398,9670.829401295789
obs,1,43,10237.01099978715,10034.304448116296,9954.715819088819,9675.074560297575
obs,1,44,10328.947849561133,10050.01767517741,10099.648452518124,9695.689268256623
obs,1,45,10338.970664879715,10045.267495050679,10170.871196087177,9749.885234790232
obs,1,46,10288.83414292545,9986.52596407438,10070.790385898985,9673.134822546936
obs,1,47,10275.014493381364,9997.503661341023,10046.809687004754,9664.195621043365
obs,1,48,10242.400184614946,9994.880995426523,9991.068231047831,9649.818018567757
obs,1,49,10267.102763670051,9989.990633227633,10035.227571057274,9661.845426703014
obs,1,50,10313.351544498191,10049.39891938877,10067.71296615306,9677.136103727518
obs,2,1,10812.970515942625,10956.33335253802,10771.259239403904,10773.157461533337
obs,2,2,10798.981306478696,10823.232807489654,10838.255621477701,11283.402999746779
obs,2,3,10329.715470915535,9931.235241416576,10601.361949686227,10407.560680062978
obs,2,4,10283.65533932429,10283.387815142005,10906.778724018288,11070.859087765375
obs,2,5,10307.205505566126,9908.342613923782,10536.201688384053,10192.29942554667
obs,2,6,10161.029291827206,9911.164627248978,10536.904799093178,10380.532230519722
obs,2,7,10110.858864165828,9911.894894103607,10563.955948375253,10453.778211433772
obs,2,8,10148.759932288529,10079.29908965843,10789.177759762915,10810.860005354676
obs,2,9,10070.679034147208,9928.257307363963,10511.09643027399,10436.814106894197
obs,2,10,10110.17611235645,9908.275382077312,10648.598301546095,10550.782509589799
obs,2,11,10200.516539454318,9864.200224046179,10513.933958990176,10236.624556535131
obs,2,12,10178.862664865825,9857.80144397215,10514.15221615177,10239.558300584658
obs,2,13,10089.957927995863,9887.212738195962,10488.72992789732,10343.116202228824
obs,2,14,10067.117478660855,9953.872439612933,10571.555008417987,10513.481463182306
obs,2,15,10100.918071765655,9922.719422176067,10625.564908086515,10534.000725317997
obs,2,16,10070.284489177935,9911.199278457936,10524.036715270662,10419.433964622001
obs,2,17,10103.091018298697,9865.698767414346,10576.900467120182,10421.943395524184
obs,2,18,10148.263936896892,9856.067964067426,10508.900946494661,10265.467917095226
obs,2,19,10094.060464690087,9895.580003072275,10532.81080326287,10404.582940421282
obs,2,20,10078.960343691208,9928.485864391121,10559.503703182121,10472.43239424995
obs,2,21,10161.840296631675,9884.252821721835,10507.256005395531,10279.992670586389
obs,2,22,10179.612219084536,9870.03941131625,10490.811446155745,10220.418885419367
obs,2,23,10137.72861977929,9854.03030401593,10555.645088050802,10341.403792102858
obs,2,24,10139.30410952587,9856.554867113324,10505.516320807821,10283.05265344837
obs,2,25,10156.267646194538,9852.85736072993,10520.392339550017,10284.050666797877
obs,2,26,10142.69434637555,9865.739113601232,10535.483491401119,10341.654845069594
obs,2,27,10109.231962580785,9861.880025772614,10563.038504413593,10398.256458460131
obs,2,28,10101.431555147776,9878.998317211415,10593.217918414071,10496.2869832488
obs,2,29,10152.609767223346,9843.538887858705,10572.544305419166,10343.849741418528
obs,2,30,10170.774491090868,9836.186844631617,10556.361774618574,10294.091880851403
obs,2,31,10104.049047214305,9829.572196568592,10571.069924461213,10400.612953021011
obs,2,32,10095.264918384928,9882.762817852376,10502.045496976363,10333.694942626336
obs,2,33,10115.143952758735,9862.621765542262,10511.524398616595,10303.37712993756
obs,2,34,10076.015902912948,9855.951027703717,10582.860010339962,10464.854913285626
obs,2,35,10099.399438393051,9873.000854721382,10607.85214817387,10512.17300287665
obs,2,36,10194.635628839826,9766.837081014744,10640.20201900343,10443.777041900938
obs,2,37,10112.199586019915,9824.171344453582,10541.295622222136,10343.350527820052
obs,2,38,10058.289701515014,9885.030432382087,10540.060488964913,10425.333499831328
obs,2,39,10125.607706764933,9844.25451155297,10547.678592962393,10313.930452863255
obs,2,40,10156.315177381473,9846.10113866489,10540.067376784527,10284.91932684082
obs,2,41,10112.775389873897,9869.659885286552,10682.170912480238,10618.88894754981
obs,2,42,10094.865477123762,9840.395916202764,10574.613902379691,10426.249711550001
obs,2,43,10117.00934919119,9831.02830738567,10602.147238992577,10398.530049420251
obs,2,44,10103.375205402008,9810.111053672432,10576.54799831706,10386.769691419931
obs,2,45,10148.913573304193,9838.387948832251,10568.062131794939,10344.372679770173
obs,2,46,10077.033134548257,9822.4140935394,10573.183584352832,10426.036835731285
obs,2,47,10117.317783683004,9825.292804494538,10555.471872363758,10351.231616103289
obs,2,48,10087.035298932953,9823.262560639496,10568.085380650275,10416.3153935862
obs,2,49,10112.117708572565,9809.647251057886,10602.640394980846,10444.974318174905
obs,2,50,10096.991567284565,9802.656092044486,10578.599951121834,10371.2867917854
obs,3,1,10795.249432202118,10925.453143057057,10787.336863327662,10556.531005593828
obs,3,2,10777.590960278847,10534.352877432895,10811.688092706281,11173.906509189874
obs,3,3,10817.555307590525,11086.820630115633,10830.990067365636,11134.62746078447
obs,3,4,10793.884931520866,10668.962656411015,10839.253029293903,11154.277347449259
obs,3,5,10798.082347394107,10886.882162189577,10792.565402877757,10912.872287799068
obs,3,6,10812.276957338083,11018.12233647647,10813.518116186038,10871.133037425914
obs,3,7,10812.136132672133,11070.593155416542,10779.791502639962,10763.61352013716
obs,3,8,10803.629300888351,10881.753411702952,10828.007093209017,11177.13988892817
obs,3,9,10800.357108883623,10818.22426996962,10816.777276952262,11041.338235462583
obs,3,10,10809.091520776201,11012.612008172426,10746.19807272838,10059.61933417031
obs,3,11,10802.65269298906,10908.660674179335,10793.254716310552,11015.012937586343
obs,3,12,10785.593047484319,10588.125759457178,10803.563566149049,10993.730648828789
obs,3,13,10821.625807826924,11081.646228130161,10820.990529535758,11220.852150266343
obs,3,14,10789.929503215448,10638.231716565031,10768.10777801283,10598.762479487881
obs,3,15,10807.701815868915,10831.245686964206,10764.866876078137,10546.592813094543
obs,3,16,10826.585903776724,11219.786693178965,10814.338039871333,10990.1864968839
obs,3,17,10800.343469262687,10894.244409912757,10823.351855491064,11052.361925079125
obs,3,18,10807.775090641368,10736.588649068226,10821.527223747918,11252.392832283442
obs,3,19,10788.924572837126,10635.585932200162,10814.423486296026,11087.252531254839
obs,3,20,10822.933296826266,10944.898444271159,10783.301274026899,10777.285504484336
obs,3,21,10788.902291501703,10832.772979749574,10797.743464346775,10671.254107943505
obs,3,22,10790.646851476897,10751.232849791952,10791.247402067243,10658.788718256974
obs,3,23,10789.350701438463,10679.039548410903,10766.241719333004,10283.057002257448
obs,3,24,10800.160405037997,10848.168322577565,10826.612083710505,11168.24974386781
obs,3,25,10788.310069826408,10659.573732095629,10845.947501119617,11595.75790968932
obs,3,26,10808.989694294465,10892.108834126188,10778.460360183828,10804.588017111906
obs,3,27,10783.253756063392,10688.436557034318,10791.431933407628,11003.763573347811
obs,3,28,10807.855983041321,10935.601752428613,10834.899342511308,11138.760795519744
obs,3,29,10790.524788100134,10654.203591033722,10782.322649275256,10446.064007627712
obs,3,30,10801.39745618621,10912.40719562894,10820.29055861789,11120.511992957561
obs,3,31,10788.900160094261,10590.442017184974,10770.116227381559,10269.230524611054
obs,3,32,10794.74499312843,10779.305720958882,10789.28006298062,10355.42517731627
obs,3,33,10803.59289823713,10965.704591347378,10813.956292668214,10805.283786387854
obs,3,34,10783.367985556519,10646.554573947624,10754.06800071655,10073.359279574346
obs,3,35,10814.9793687921,11079.348318270602,10851.255599879822,11187.490535033285
obs,3,36,10772.059925922553,10555.272098268906,10804.972589377176,11163.868158639096
obs,3,37,10793.668179032953,10883.726620356518,10776.709119985624,10583.645617257243
obs,3,38,10798.626447465916,10773.314034719184,10818.188706145114,10967.332674739639
obs,3,39,10786.19834257018,10639.5801091895,10805.422821428587,10858.294670486524
obs,3,40,10806.191624761124,10959.022738084186,10816.490527767226,10956.187108728962
obs,3,41,10758.71380159743,10545.82203851331,10810.227044375002,10575.123628735153
obs,3,42,10733.518598144157,10547.114943011626,10769.261466357333,10637.759123715503
obs,3,43,10793.256713526303,10746.959665467897,10823.044671210193,11262.635822245671
obs,3,44,10775.082393808925,10674.24168185994,10784.774218003238,10805.098916914803
obs,3,45,10806.934468882573,10725.767763671509,10770.622978274096,10832.180326465053
obs,3,46,10814.106562877834,11041.149532682603,10768.697457732445,10296.395641020461
obs,3,47,10796.075816455916,10756.770575717814,10844.004913200904,11217.225500543162
obs,3,48,10809.046357206564,11086.03832977429,10831.767392561876,11280.496523338883
obs,3,49,10834.111896106393,11188.82871686599,10805.706728498497,11018.938092026434
obs,3,50,10791.351707544061,10886.921820525919,10745.725114122795,10025.974545287983
obs,4,1,10802.21143218904,10752.861504548388,10774.945302347081,10478.942205693093
obs,4,2,10800.74141681021,10928.714522996164,10815.612917827928,10619.38333996431
obs,4,3,10805.377623385632,10964.852525753067,10765.064212521387,10365.425907922887
obs,4,4,10794.031925617797,10692.049175632166,10813.739881849413,10735.821885796438
obs,4,5,10793.430651684894,10697.747756237286,10801.430832170934,10840.240932091852
obs,4,6,10791.471481960705,10649.2130653313,10767.31459944699,10498.229252297817
obs,4,7,10788.40757020705,10762.999854554593,10812.36023314281,10615.60655974261
obs,4,8,10795.261866710844,10758.79316705574,10769.577724623163,10480.420921609422
obs,4,9,10793.473041592171,10745.54318124047,10766.163121003836,10134.882923384492
obs,4,10,10829.829365346472,11144.297118928716,10818.051383956385,11097.117374819765
obs,4,11,10790.591947320645,10539.450339858666,10791.878286459858,10775.458439032207
obs,4,12,10789.64031520165,10613.898614056361,10824.537446219254,11296.054306670616
obs,4,13,10804.140847744273,10993.446775267195,10825.684275302805,11020.96563249472
obs,4,14,10804.21432025201,10804.75698367844,10792.339294786925,10613.871219612864
obs,4,15,10822.337723813926,11038.190440741733,10811.269533242423,11305.171127094973
obs,4,16,10810.70413700994,10900.518634204003,10792.475384710822,10534.198456234893
obs,4,17,10793.487324668124,10607.62861612482,10793.56123956046,10509.337266107561
obs,4,18,10783.385806775128,10610.380310153387,10820.875929921212,11023.511796089131
obs,4,19,10790.777973087672,10533.853578413162,10809.327185319136,10873.073778697477
obs,4,20,10790.806413871587,10665.795726747814,10797.774561290977,10466.080716127082
obs,4,21,10791.479454071952,10592.868649611597,10792.341198382199,10672.893852880628
obs,4,22,10803.023238511918,10819.1122495012,10793.429156646655,11064.754867808444
obs,4,23,10798.884552263326,10831.107382459837,10818.587952317634,10698.761253060318
obs,4,24,10810.694974094495,10898.143923618,10799.509398779464,10582.015706979299
obs,4,25,10808.683801448085,10745.477504394443,10783.179597757546,10877.43233844679
obs,4,26,10821.836672294101,11055.160410563278,10800.397304804836,10771.722267574338
obs,4,27,10810.920924384223,11121.819132883038,10796.469711699034,10641.797324839185
obs,4,28,10813.54282683503,11184.486457272518,10818.578951100024,10719.10428245736
obs,4,29,10803.231579048364,10866.546362133962,10832.03758090908,10898.68903554579
obs,4,30,10794.322349632095,10755.444948701648,10746.864859022144,9761.435384177455
obs,4,31,10819.275150621053,11083.953041654026,10810.02281354166,10719.219987138647
obs,4,32,10811.379016879151,11022.350477027492,10777.397599283484,10545.846746904092
obs,4,33,10806.554621290688,10720.520501339883,10826.787771512301,10861.350280867524
obs,4,34,10796.346703515557,10790.745025811515,10805.032190334234,10874.071891797943
obs,4,35,10795.283514978344,10690.262025100741,10828.489632290008,11469.131340123546
obs,4,36,10776.915678441874,10329.734078122015,10799.73921092099,10392.953203774627
obs,4,37,10795.114617261346,10780.138585819032,10820.363688263402,11133.215728255878
obs,4,38,10818.333500694456,10877.527045687388,10793.557658021771,10920.489389868295
obs,4,39,10809.440990097031,11079.021481906311,10806.50968102265,10909.579512155677
obs,4,40,10805.82169146594,10936.312865543483,10804.483632423931,10571.731308989647
obs,4,41,10795.920549741546,10813.616167445447,10840.929147924433,11422.617061591762
obs,4,42,10784.536807864884,10484.988933696119,10801.982284966101,10658.121156992976
obs,4,43,10787.162925097087,10672.265132282026,10752.401091480722,10154.532725966656
obs,4,44,10784.191812089859,10598.66588859395,10817.568845191223,10914.094707531354
obs,4,45,10800.754857880014,10807.351526415267,10789.809627339562,10762.657897138291
obs,4,46,10795.47336510133,10748.813202324738,10769.920633326356,10691.84387172627
obs,4,47,10804.315037839397,10886.706703470083,10809.09554760584,10965.122433634237
obs,4,48,10790.333488541362,10788.449021001828,10762.616957627486,10800.036199563465
obs,4,49,10790.043659107681,10585.665503591483,10772.318032950168,10004.985306314618
obs,4,50,10817.660496257673,11190.052123004676,10772.130877883581,10645.796407295862
perm0,0,1,10809.516300814374,10857.158165614856,10823.435126249758,10827.300313261172
perm0,0,2,10799.985882914516,10831.085636684395,10795.044815601956,10828.295950819085
perm0,0,3,10812.365384895347,10967.206927830362,10777.47115288849,10409.287950023809
perm0,0,4,10818.116924689275,10938.85180090201,10824.43204746247,11344.135163885512
perm0,0,5,10785.815545726215,10649.801469384234,10788.805933213922,10668.718320459111
perm0,0,6,10800.420516097603,10646.511724212874,10780.02133162387,10395.152519094032
perm0,0,7,10782.171449823018,10658.953790334896,10772.12913194147,10257.51057881468
perm0,0,8,10804.658416483107,10860.7068184254,10801.322849223992,10681.706500109323
perm0,0,9,10775.688564392334,10388.287922828687,10811.394943345118,11223.28886197672
perm0,0,10,10786.50179966451,10528.561237142469,10772.349358888201,10591.9469264591
perm0,0,11,10786.928483046073,10753.173431175572,10789.301191110753,10546.395697137874
perm0,0,12,10814.713495455333,11100.332466756976,10793.980853202165,10873.30068835432
perm0,0,13,10808.708558275528,11033.414331957072,10766.416795028386,10669.806421782427
perm0,0,14,10808.888406751626,11016.128262574084,10812.879801768155,10957.022817316849
perm0,0,15,10817.522360854664,10990.065011562727,10782.906462454152,10673.947950009708
perm0,0,16,10810.78957090291,10827.096889918681,10814.797145809534,10828.262416147054
perm0,0,17,10798.848124983597,10641.979449732893,10827.36125460423,10988.137378766864
perm0,0,18,10805.788014609361,10836.93098637815,10819.510184822742,10793.943912823896
perm0,0,19,10775.5364994382,10587.924730422936,10765.968710286157,10479.235309489264
perm0,0,20,10809.317449133556,11113.661576585911,10813.99299889531,11106.032120846432
perm0,0,21,10796.228212985532,10723.836070661311,10752.318428590594,10286.152525255859
perm0,0,22,10786.228492568918,10615.784823808757,10801.580827942564,11043.83236395518
perm0,0,23,10800.258035497953,11083.635050831474,10821.020504863201,10902.970043880208
perm0,0,24,10771.39633257171,10390.955420546177,10820.996209442876,11020.13037734138
perm0,0,25,10797.294272549385,10734.453299781495,10788.189065545987,10550.58351307865
perm0,0,26,10807.918926053468,11055.882282031744,10820.34229955609,10879.808506494393
perm0,0,27,10785.680120378298,10689.346750195898,10881.076669906186,11189.876599437783
perm0,0,28,10763.600578883561,10871.614013076382,10902.50382117417,11552.159715384929
perm0,0,29,10738.55224849209,10810.590547880596,10832.265544086078,11264.05642578586
perm0,0,30,10742.807543902689,10770.446869492336,10803.91793227391,10920.380142990925
perm0,0,31,10810.394720202989,10735.99214376952,10905.560306346879,11297.245340994721
perm0,0,32,10707.989860660877,10831.964306050237,10811.328862726308,11223.593806470446
perm0,0,33,10659.960628376773,10832.83379158625,11195.616092862952,11595.765092681631
perm0,0,34,10612.725396361864,10908.95336678102,10895.23236790991,11290.63025167402
perm0,0,35,10672.37163865926,10999.453282865175,11048.796955576914,11501.021559409028
perm0,0,36,10680.344492226672,10854.794892375772,11290.6884971872,11590.86304448842
perm0,0,37,10642.28023346515,10875.738336157216,11002.185475838292,11306.64103124315
perm0,0,38,10710.50939957038,10985.56053333202,11126.712430500162,11491.421275872164
perm0,0,39,10750.827969796836,10971.641350745515,11207.718970416621,11525.368727807596
perm0,0,40,10690.55290486611,10865.123233518754,10962.693924655472,11178.877057321648
perm0,0,41,10827.241067791252,10922.510869274116,11434.487011514673,11621.660562640693
perm0,0,42,10762.80169410832,10920.311129423751,11128.096762740688,11331.048543571
perm0,0,43,10787.086117793886,10982.304106097972,11237.051325602795,11534.828668712442
perm0,0,44,10771.053134996533,10948.011543525834,11265.63900199375,11542.746974636613
perm0,0,45,10554.342151772009,10539.4957844565,10676.787412479245,10681.682086466926
perm0,0,46,10844.445099343531,10965.53778072085,11381.995669632419,11567.563720324873
perm0,0,47,10731.25502695884,10918.203059113266,11142.007122192665,11409.350774908422
perm0,0,48,10755.962193597641,10943.323384609812,11137.826714716666,11412.611535226084
perm0,0,49,10850.798798596883,10967.965653827725,11386.920565251572,11586.740571034366
perm0,0,50,10719.59073848468,10866.41434437463,11037.092989382985,11227.51198773309
perm0,1,1,10786.216611998116,10707.692294936118,10811.765844986838,11044.123495835373
perm0,1,2,10799.818387284537,10827.128793903752,10822.672177616141,10983.831692211594
perm0,1,3,10789.039888574152,10606.901765598766,10835.544051517407,11228.013234714856
perm0,1,4,10807.513851789674,11034.526802712175,10753.965513780407,10574.694838606447
perm0,1,5,10701.527184591961,10144.56454915286,10758.704355766911,10374.623563199515
perm0,1,6,10740.151353747704,10312.312111288737,10748.620406525702,10460.817467514385
perm0,1,7,10687.40259682968,10310.772017811238,10704.769393726778,10503.384435852067
perm0,1,8,10704.548581591891,11007.973411705965,10602.838685801704,10992.346979342561
perm0,1,9,10634.889448905209,10307.125252812859,10678.10064661539,10321.158629926025
perm0,1,10,10659.93236449328,10668.873636771226,10659.252311568316,10679.358595683618
perm0,1,11,10673.448353048156,10778.107662609627,10643.290736292936,10784.358762872442
perm0,1,12,10580.884118108468,10094.3571548258,10736.58616532205,10329.861341186492
perm0,1,13,10617.145736818591,10217.194476572122,10734.007970421633,10307.310046398365
perm0,1,14,10589.738819926142,10302.313681512449,10651.185495494805,10330.796709016488
perm0,1,15,10511.094654664013,10100.791775713598,10636.1013204355,10274.861294282757
perm0,1,16,10596.273860837904,10402.04658157109,10613.094885344151,10398.35309769299
perm0,1,17,10534.185766700073,10216.621279847339,10660.273176931109,10276.015530265006
perm0,1,18,10428.832747652876,10113.950201410811,10592.546892159093,10369.529422495802
perm0,1,19,10423.524699792712,10117.512281042285,10618.034135728203,10341.635133243095
perm0,1,20,10331.99980967323,10094.993417305079,10550.356789694433,10361.86641276591
perm0,1,21,10369.587198505316,10115.06542332984,10495.725086867447,10249.511628693253
perm0,1,22,10399.218307557605,10234.769694969487,10512.275159081097,10353.625303530402
perm0,1,23,10287.1595121015,10076.66897905127,10530.710585480809,10325.598795343743
perm0,1,24,10484.99326214189,10303.3405976581,10559.98207119164,10334.6151940705
perm0,1,25,10318.467459062877,10093.03593787497,10475.008464878589,10209.450309016247
perm0,1,26,10405.402713558531,10287.353431552496,10478.105033260255,10376.714285596196
perm0,1,27,10504.547943107436,10116.821247508597,10598.81211373924,10192.03829319175
perm0,1,28,10376.7759434094,10093.275620885535,10548.959473612289,10275.162867082578
perm0,1,29,10361.695590906407,10178.688631939141,10492.444305084584,10268.758247006852
perm0,1,30,10270.490810878524,10078.712161275917,10437.367604511042,10278.884412917345
perm0,1,31,10252.715699860424,10080.699752992126,10437.304762035039,10252.025932760562
perm0,1,32,10314.233202143276,10177.990467191526,10472.292836679111,10269.933221504285
perm0,1,33,10323.13401007328,10200.960931310934,10447.812647150264,10358.587397921689
perm0,1,34,10236.794504408621,10098.04337003296,10414.340309959696,10324.109408040209
perm0,1,35,10256.545471756139,10152.759001533446,10592.114907373947,10491.326066746366
perm0,1,36,10227.237585243574,10079.833315616552,10410.341290670023,10326.158510005545
perm0,1,37,10255.58651793524,10078.560199713924,10396.518502608073,10236.948453553092
perm0,1,38,10210.91634181048,10073.819730345012,10350.995042214108,10258.141701788087
perm0,1,39,10215.434593396125,10074.730317822488,10462.003265643762,10369.181869086407
perm0,1,40,10205.305580981794,10070.573092000686,10386.721737713671,10307.07108489217
perm0,1,41,10258.444432391098,10062.311733071434,10486.600162318106,10244.539623644347
perm0,1,42,10225.897269265864,10099.226648658585,10530.963770346088,10399.71653068396
perm0,1,43,10218.14434552276,10051.876871809296,10454.094397943483,10343.58062608214
perm0,1,44,10199.395672780396,10057.642825394601,10358.712686967296,10215.327426215736
perm0,1,45,10240.628392617105,10135.544143811545,10362.738966863475,10277.676761257648
perm0,1,46,10206.796786804509,10107.238909798865,10334.344702534503,10233.695922171022
perm0,1,47,10200.900583857656,10043.072460492145,10452.272423081788,10318.23982617707
perm0,1,48,10212.441105787684,10045.25312419278,10437.199199514922,10281.427290834548
perm0,1,49,10249.26200109722,10155.047740764883,10338.048478234623,10256.945175947596
perm0,1,50,10221.872600128869,10127.966044615127,10343.637548611508,10244.705281957455
perm0,2,1,10797.242948829291,10836.990276142236,10792.147272654578,10876.399360285537
perm0,2,2,10818.75235563646,10807.629564063533,10789.073056951745,10593.395102870005
perm0,2,3,10806.154955520968,10886.053627687621,10780.869508201566,10450.904679084893
